hpo_id_phenotype,hpoID_Computable,Label,Synonyms,Description
HP:0012741,HP_0012741,Unilateral cryptorchidism,"Cryptorchidism, unilateral",Absence of a testis from the scrotum on one side owing to failure of the testis or testes to descend through the inguinal canal to the scrotum.
HP:0000104,HP_0000104,Renal agenesis,Absent kidney|Missing kidney|Renal aplasia,"Agenesis, that is, failure of the kidney to develop during embryogenesis and development."
HP:0011846,HP_0011846,Osteoblastoma, ,"A benign, painful, tumor of bone characterized by the formation of osteoid tissue, primitive bone and calcified tissue."
HP:0005912,HP_0005912,Biliary atresia,Biliary duct atresia,Atresia of the biliary tree.
HP:0002089,HP_0002089,Pulmonary hypoplasia,Underdeveloped lung|Hypoplastic lungs|Lung hypoplasia|Hypoplastic lung|Small lung, 
HP:0001195,HP_0001195,Single umbilical artery,Only one artery in umbilical cord instead of two|Two vessel cord|Two vessel umbilical cord|2 vessel umbilical cord|2 vessel cord,Single umbilical artery (SUA) is the absence of one of the two umbilical arteries surrounding the fetal bladder and in the fetal umbilical cord.
HP:0010773,HP_0010773,Partial anomalous pulmonary venous return,Partial anomalous pulmonary venous connection,A form of anomalous pulmonary venous return in which not all pulmonary veins drain abnormally. Partial anomalous pulmonary venous return frequently involves one or both of the veins from one lung.
HP:0030431,HP_0030431,Osteochondroma,Osteochondromas|Osteocartilaginous exostoses,A cartilage capped bony outgrowth of a long bone. Osteochondroma arises on the external surface of bone containing a marrow cavity that is continuous with that of the underlying bone.
HP:0001357,HP_0001357,Plagiocephaly,Rhomboid shaped skull|Flattening of cranial vault|Flat head syndrome|Flattening of skull|Rhomboid shaped cranium|Flattening of cranium,"Asymmetric head shape, which is usually a combination of unilateral occipital flattening with ipsilateral frontal prominence, leading to rhomboid cranial shape."
HP:0001746,HP_0001746,Asplenia,Absent spleen,Absence (aplasia) of the spleen.
HP:0100836,HP_0100836,Malignant neoplasm of the central nervous system,Malignant neoplasm of the CNS,"A tumor that originates in the pineal gland, has moderate cellularity and tends to form rosette patterns."
HP:0001684,HP_0001684,Secundum atrial septal defect,"Patent ostium secundum|Atrial septal defect, ostium secundum type|Ostium secundum atrial septal defect","A kind of atrial septum defect arising from an enlarged foramen ovale, inadequate growth of the septum secundum, or excessive absorption of the septum primum."
HP:0100334,HP_0100334,Unilateral cleft palate,One sided cleft palate|Unilateral palatoschisis, 
HP:0001840,HP_0001840,Metatarsus adductus,Front half of foot turns inward|Metatarsus adductovarsus|Forefoot varus|Metatarsus varus,"The metatarsals are deviated medially (tibially), that is, the bones in the front half of the foot bend or turn in toward the body."
HP:0200034,HP_0200034,Papule,Papules,"A circumscribed, solid elevation of skin with no visible fluid, varying in size from a pinhead to less than 10mm in diameter at the widest point."
HP:0001659,HP_0001659,Aortic regurgitation,Aortic valve regurgitation|Aortic insufficiency,"An insufficiency of the aortic valve, leading to regurgitation (backward flow) of blood from the aorta into the left ventricle."
HP:0008081,HP_0008081,Pes valgus,Valgus foot deformity,An outward deviation of the foot at the talocalcaneal or subtalar joint.
HP:0001159,HP_0001159,Syndactyly,Webbed fingers or toes,"Webbing or fusion of the fingers or toes, involving soft parts only or including bone structure. Bony fusions are referred to as ""bony"" syndactyly if the fusion occurs in a radio-ulnar axis. Fusions of bones of the fingers or toes in a proximo-distal axis are referred to as ""symphalangism""."
HP:0002895,HP_0002895,Papillary thyroid carcinoma,Thyroid papillary carcinoma|Papillary carcinoma of thyroid,The presence of a papillary adenocarcinoma of the thyroid gland.
HP:0000110,HP_0000110,Renal dysplasia,Renal adysplasia|Dysplastic kidneys,The presence of developmental dysplasia of the kidney.
HP:0000767,HP_0000767,Pectus excavatum,Funnel chest,"A defect of the chest wall characterized by a depression of the sternum, giving the chest (""pectus"") a caved-in (""excavatum"") appearance."
HP:0001643,HP_0001643,Patent ductus arteriosus,Persistent ductus arteriosus|Ductus arteriosus|Persistent arterial duct,"In utero, the ductus arteriosus (DA) serves to divert ventricular output away from the lungs and toward the placenta by connecting the main pulmonary artery to the descending aorta. A patent ductus arteriosus (PDA) in the first 3 days of life is a physiologic shunt in healthy term and preterm newborn infants, and normally is substantially closed within about 24 hours after bith and completely closed after about three weeks. Failure of physiologcal closure is referred to a persistent or patent ductus arteriosus (PDA). Depending on the degree of left-to-right shunting, PDA can have clinical consequences."
HP:0000995,HP_0000995,Melanocytic nevus,Melanocytic nevi|Melanocytic naevus|Nevocellular nevi|Beauty mark|Pigmented naevi|Pigmented nevi,"A oval and round, colored (usually medium-to dark brown, reddish brown, or flesh colored) lesion. Typically, a melanocytic nevus is less than 6 mm in diameter, but may be much smaller or larger."
HP:0011623,HP_0011623,Muscular ventricular septal defect,Type 4 ventricular septal defect,The trabecular septum is the largest part of the interventricular septum. It extends from the membranous septum to the apex and superiorly to the infundibular septum. A defect in the trabecular septum is called muscular VSD if the defect is completely rimmed by muscle.
HP:0012189,HP_0012189,Hodgkin lymphoma,Hodgkin disease|Hodgkin's lymphoma,A type of lymphoma characterized microscopically by multinucleated Reed-Sternberg cells.
HP:0011682,HP_0011682,Perimembranous ventricular septal defect,Perimembraneous ventricular septal defect|Conoventricular ventricular septal defect|Membranous ventricular septal defect|Paramembranous ventricular septal defect|Type 2 ventricular septal defect,"A ventricular septal defect that is confluent with and involves the membranous septum and is bordered by an atrioventricular valve, not including the type 3 VSDs."
HP:0012721,HP_0012721,Venous malformation,Venous malformations,"A vascular malformation resulting from a developmental error of venous tissue composed of dysmorphic channels lined by flattened endothelium and exhibiting slow turnover. A venous malformation may present as a blue patch on the skin ranging to a soft blue mass. Venous malformations are easily compressible and usually swell in thewhen venous pressure increases (e.g., when held in a dependent position or when a child cries). They may be relatively localized or quite extensive within an anatomic region."
HP:0000316,HP_0000316,Hypertelorism,Increased distance between eye sockets|Ocular hypertelorism|Increased interpupillary distance|Wide-set eyes|Widely spaced eyes|Excessive orbital separation|Increased distance between eyes|Widened interpupillary distance,"Interpupillary distance more than 2 SD above the mean (alternatively, the appearance of an increased interpupillary distance or widely spaced eyes)."
HP:0001052,HP_0001052,Nevus flammeus,Nevus simplex|port-wine stain,A congenital vascular malformation consisting of superficial and deep dilated capillaries in the skin which produce a reddish to purplish discolouration of the skin.
HP:0025247,HP_0025247,Dermoid cyst, ,"A congenital subcutaneous cyst that arises from entrapment of skin along the lines of embryonic fusion. In contrast to epidermal cysts, dermoid cysts tend to contain various adnexal structures such as hair, sebaceous, eccrine or apocrine glands. Dermoid cysts are present at birth, and are indolent, firm, deep, subcutaneous nodules. They are often located on the head and neck, and rarely in the anogenital area. Dermoid cysts are slowly progressive and can grow to a size of 1 to 4 cm."
HP:0000627,HP_0000627,Posterior embryotoxon,Embryotoxon,A posterior embryotoxon is the presence of a prominent and anteriorly displaced line of Schwalbe.
HP:0010882,HP_0010882,Pulmonary valve atresia, ,A congenital disorder of the pulmonary valve in which the orifice of the valve fails to develop.
HP:0002023,HP_0002023,Anal atresia,Absent anus,"Congenital absence of the anus, i.e., the opening at the bottom end of the intestinal tract."
HP:0012427,HP_0012427,Excessive femoral anteversion, ,"An increased degree of femoral version, which is defined as the angular difference between axis of femoral neck and transcondylar axis of the knee. Thus, femoral anteversion is an inward twisting of the femur that causes the knees and feet to turn inward."
HP:0000256,HP_0000256,Macrocephaly,Large head circumference|Macrocrania|Large head|Increased size of cranium|Megacephaly|Increased size of skull,"Occipitofrontal (head) circumference greater than 97th centile compared to appropriate, age matched, sex-matched normal standards. Alternatively, a apparently increased size of the cranium."
HP:0002084,HP_0002084,Encephalocele,Bifid skull|Cranium bifidum,A neural tube defect characterized by sac-like protrusions of the brain and the membranes that cover it through openings in the skull.
HP:0002858,HP_0002858,Meningioma, ,"The presence of a meningioma, i.e., a benign tumor originating from the dura mater or arachnoid mater."
HP:0012324,HP_0012324,Myeloid leukemia,Myeloid leukaemia,"A leukemia that originates from a myeloid cell, that is the blood forming cells of the bone marrow."
HP:0008643,HP_0008643,Nephroblastomatosis, ,Presence of persistent islands of renal blastema in the postnatal kidney. Nephroblastomatosis represents a complex abnormality of nephrogenesis and has been defined as the persistence of metanephricblastema into infancy and childhood.
HP:0003764,HP_0003764,Nevus,Naevus|Mole,A nevus is a type of hamartoma that is a circumscribed stable malformation of the skin.
HP:0001647,HP_0001647,Bicuspid aortic valve,Aortic valve has two leaflets rather than three,"The presence of an aortic valve with two instead of the normal three cusps (flaps). Bicuspid aortic valvue is a malformation of a commissure (small space between the attachment of each cusp to the aortic wall) and the adjacent parts of the two corresponding cusps forming a raphe (the fused area of the two underdeveloped cusps turning into a malformed commissure between both cusps; the raphe is a fibrous ridge that extends from the commissure to the free edge of the two underdeveloped, conjoint cusps)."
HP:0000315,HP_0000315,Abnormality of the orbital region,Abnormality of the eye region|Abnormality of the region around the eyes, 
HP:0007633,HP_0007633,Bilateral microphthalmos,"Microphthalmia, bilateral|Abnormally small eyeball on both sides",A developmental anomaly characterized by abnormal smallness of both eyes.
HP:0011480,HP_0011480,Unilateral microphthalmos,Abnormally small eyeball on one side,A developmental anomaly characterized by abnormal smallness of one eye.
HP:0002475,HP_0002475,Myelomeningocele,Meningomyelocele|Spina bifida cystica,Protrusion of the meninges and portions of the spinal cord through a defect of the vertebral column.
HP:0002836,HP_0002836,Bladder exstrophy,Ectopia vesicae,Eversion of the posterior bladder wall through the congenitally absent lower anterior abdominal wall and anterior bladder wall.
HP:0001655,HP_0001655,Patent foramen ovale, ,"Failure of the foramen ovale to seal postnatally, leaving a potential conduit between the left and right cardiac atria."
HP:0004415,HP_0004415,Pulmonary artery stenosis,Narrowing of lung artery,"An abnormal narrowing or constriction of the pulmonary artery, in the main pulmonary artery and/or in the left or right pulmonary artery branches."
HP:0010775,HP_0010775,Vascular ring,Vascular ring of aorta,A developmental defect of the aortic arch system in which the trachea and esophagus are completely encircled by connected segments of the aortic arch and its branches. This occurs if the normal process of regression and persistence of the bilateral embryonic aortic arches fails.
HP:0002539,HP_0002539,Cortical dysplasia,Neocortical dysplasia,The presence of developmental dysplasia of the cerebral cortex.
HP:0030770,HP_0030770,Craniorachischisis, ,A neural tube defect in which both the brain and spinal cord remain open to varying degrees.
HP:0000085,HP_0000085,Horseshoe kidney,Horseshoe kidneys|Horseshoe kidney,A connection of the right and left kidney by an isthmus of functioning renal parenchyma or fibrous tissue that crosses the midline.
HP:0000054,HP_0000054,Micropenis,Small penis|Short penis,"Abnormally small penis. At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm."
HP:0001705,HP_0001705,Right ventricular outlet tract obstruction,Right ventricular outlet obstruction,An obstruction to the forward flow of blood in the outflow tract of the right ventricle.
HP:0001884,HP_0001884,Talipes calcaneovalgus,Pes calcaneovarus,"Talipes calcaneovalgus is a flexible foot deformity (as opposed to a rigid congenital vertical talus foot deformity) that can either present as a positional or structural foot deformity depending on severity and/or causality. The axis of calcaneovalgus deformity is in the tibiotalar joint, where the foot is positioned in extreme hyperextension. On inspection, the foot has an ""up and out"" appearance, with the dorsal forefoot practically touching the anterior aspect of the ankle and lower leg."
HP:0000074,HP_0000074,Ureteropelvic junction obstruction,Pelviureteric junction obstruction,Blockage of urine flow from the renal pelvis to the proximal ureter.
HP:0002888,HP_0002888,Ependymoma, ,The presence of an ependymoma of the central nervous system.
HP:0004394,HP_0004394,Multiple gastric polyps, , 
HP:0010445,HP_0010445,Primum atrial septal defect,"Primum atrioventricular canal defect|Septum primum defect|Ostium primum atrial septal defect|Atrial septal defect, primum type","An ostium primum atrial septal defect is located in the most anterior and inferior aspect of the atrial septum. The ostium primum refers to an anterior and inferior opening (ostium) within the septum primum, which divides the rudimentary atrium during fetal development. The ostium primum is normally sealed by fusion of the superior and inferior endocardial cushions around 5 weeks' gestation. Ostium primum defects result from a failure of the fusion of the embryologic endocardial cushion and septum primum."
HP:0002652,HP_0002652,Skeletal dysplasia, ,A general term describing features characterized by abnormal development of bones and connective tissues.
HP:0002282,HP_0002282,Gray matter heterotopia,Grey matter heterotopia|Heterotopias|Neuronal heterotopia|Gray matter heterotopias|Heterotopia,"Heterotopia or neuronal heterotopia are macroscopic clusters of misplaced neurons (gray matter), most often situated along the ventricular walls or within the subcortical white matter."
HP:0002890,HP_0002890,Thyroid carcinoma, ,The presence of a carcinoma of the thyroid gland.
HP:0100333,HP_0100333,Unilateral cleft lip,Unilateral cheiloschisis|Unilateral cleft upper lip|One sided cleft upper lip,A non-midline cleft of the upper lip on one side only.
HP:0001642,HP_0001642,Pulmonic stenosis,Pulmonic valve stenosis|Pulmonary stenosis|Narrowing of pulmonic valve|Pulmonary valve stenosis,A narrowing of the right ventricular outflow tract that can occur at the pulmonary valve (valvular stenosis) or just below the pulmonary valve (infundibular stenosis).
HP:0010311,HP_0010311,Aplasia/Hypoplasia of the breasts,Absent/small breasts|Absent/underdeveloped breasts,Absence or underdevelopment of the breasts.
HP:0002857,HP_0002857,Genu valgum,Genu valga|Knee joint valgus deformity|Knock knees|Genu valgus|Genua valga,"The legs angle inward, such that the knees are close together and the ankles far apart."
HP:0002982,HP_0002982,Tibial bowing,Bowing of the tibia|Bowed shinbone|Bowed tibia|Bowed shankbone,A bending or abnormal curvature of the tibia.
HP:0003302,HP_0003302,Spondylolisthesis,Spondylolithesis|Slipped backbone|Displacement of one backbone compared to another,Complete bilateral fractures of the pars interarticularis resulting in the anterior slippage of the vertebra.
HP:0030799,HP_0030799,Scaphocephaly, ,Scaphocephaly is a subtype of dolichocephaly where the anterior and posterior aspects of the cranial vault are pointed (boat-shaped). Scaphocephaly is caused by a precocious fusion of sagittal suture without other associated synostosis.
HP:0001776,HP_0001776,Bilateral talipes equinovarus,Bilateral clubfeet|Bilateral clubfoot|Club foot on both sides,Bilateral clubfoot deformity (see HP:0001762).
HP:0005160,HP_0005160,Total anomalous pulmonary venous return,Total anomalous pulmonary venous connection|Total anomalous pulmonary venous drainage,"Total anomalous pulmonary venous return refers to a congenital malformation in which all four pulmonary veins do not connect normally to the left atrium, but instead drain abnormally to the right atrium."
HP:0005584,HP_0005584,Renal cell carcinoma,Hypernephroma|Cancer starting in small tubes in kidneys|Renal carcinoma,A type of carcinoma of the kidney with origin in the epithelium of the proximal convoluted renal tubule.
HP:0030994,HP_0030994,Pancreas divisum, ,A congenital anomaly of the pancreas that results from failed fusion of the dorsal and ventral ducts during embyological development. Three variants have been described: type 1 or classical divisum in which there is total failure of fusion; type 2 in which dorsal drainage is dominant in the absence of the duct of Wirsung; and type 3 or incomplete divisum where a small communicating branch is present.
HP:0010621,HP_0010621,Cutaneous syndactyly of toes,Webbed skin of toes|Cutaneous syndactyly of feet|soft tissue syndactyly of toes,"A soft tissue continuity in the anteroposterior axis between adjacent foot digits that involves at least half of the proximodistal length of one of the two involved digits; or, a soft tissue continuity in the A/P axis between two digits of the foot that does not meet the prior objective criteria."
HP:0001385,HP_0001385,Hip dysplasia,Congenital hip dysplasia,The presence of developmental dysplasia of the hip.
HP:0004696,HP_0004696,Talipes cavus equinovarus, , 
HP:0030043,HP_0030043,Hip subluxation,Partial hip dislocation|Subluxation involving the hip joint,"A partial dislocation of the hip joint, whereby the head of the femur is partially displaced from the socket."
HP:0000243,HP_0000243,Trigonocephaly,Wedge shaped skull|Wedge shaped cranium|Triangular cranium shape|Triangular skull shape,"Wedge-shaped, or triangular head, with the apex of the triangle at the midline of the forehead and the base of the triangle at the occiput."
HP:0010717,HP_0010717,Osseous syndactyly of toes,Osseous syndactyly of the toes,"Webbing or fusion of the toes, involving soft parts and including fusion of individual bones of the toes. Bony fusions are referred to as ""bony"" Syndactyly if the fusion occurs in a tibial-fibular axis. Fusions of bones of the toes in a proximo-distal axis are referred to as ""Symphalangism""."
HP:0002678,HP_0002678,Skull asymmetry,Skull asymmetry|Asymmetry of skull, 
HP:0008743,HP_0008743,Coronal hypospadias, ,A mild form of hypospadias in which the urethra opens just under the corona glandis.
HP:0001750,HP_0001750,Single ventricle,Common ventricle,"The presence of only one working lower chamber in the heart, usually with a virtual absence of the ventricular septum and usually present in conjunction with double inlet left or right ventricle."
HP:0100842,HP_0100842,Septo-optic dysplasia,De Morsier syndrome,Underdevelopment of the optic nerve and absence of the septum pellucidum.
HP:0005523,HP_0005523,Lymphoproliferative disorder, , 
HP:0040297,HP_0040297,Preauricular cyst, ,"Preauricular sinus is an occasional finding and most frequently appears as a small pit close to the anterior margin of the ascending portion of the helix. The opening has also been reported along the postero superior margin of the helix, the tragus or the lobule. Preauricular sinus may lead to the formation of a subcutaneous cyst that is intimately related to the tragal cartilage and the anterior crus of the helix."
HP:0000982,HP_0000982,Palmoplantar keratoderma,Thickening of palms and soles|Palmar and plantar keratoderma,Abnormal thickening of the skin of the palms of the hands and the soles of the feet.
HP:0010816,HP_0010816,Epidermal nevus, ,Epidermal naevi are due to an overgrowth of the epidermis and may be present at birth (50%) or develop during childhood.
HP:0100649,HP_0100649,Neoplasm of the oral cavity, ,A tumor (abnormal growth of tissue) of the oral cavity.
HP:0100255,HP_0100255,Metaphyseal dysplasia, ,The presence of dysplastic regions in metaphyseal regions.
HP:0100620,HP_0100620,Germinoma, ,A type of undifferentiated germ cell tumor that may be benign or malignant.
HP:0003244,HP_0003244,Penile hypospadias, ,Location of the urethral opening on the inferior aspect of the penis.
HP:0006747,HP_0006747,Ganglioneuroblastoma, , 
HP:0000800,HP_0000800,Cystic renal dysplasia,"Renal dysplasia, cystic|Renal cystic dysplasia|Bilateral cystic dysplasia", 
HP:0011752,HP_0011752,Neoplasm of the posterior pituitary,Neoplasm of the neurohypophysis,"The presence of a neoplasm (tumour) in the neurohypophysis, which is also known as the posterior lobe of the hypophysis."
HP:0008780,HP_0008780,Congenital bilateral hip dislocation, , 
HP:0005458,HP_0005458,Premature closure of fontanelles,Early closure of the fontanelles|Obliterated fontanelles,"Normally, the posterior and lateral fontanelles are obliterated by about six months after birth, the anterior fontanelle closes by about the middle of the second year. This term refers to the situation in which the fontanelles close at an inappropriately early time point."
HP:0001476,HP_0001476,Delayed closure of the anterior fontanelle,Later than typical closing of soft spot of skull|Delayed closure anterior fontanel|Late closure of the bregma sutures|Persistent anterior fontanelle|Delayed closure of the bregma sutures|Late closure of large anterior fontanel|Delayed closure of anterior fontanelle|Late closure of anterior fontanelle,"A delay in closure (ossification) of the anterior fontanelle, which generally undergoes closure around the 18th month of life."
HP:0031562,HP_0031562,Balanced double aortic arch, ,"A type of double aortic arch in which the two branches are of equal size. In most cases of double aortic arch, the right aortic arch is larger and located higher than the left aortic arch."
HP:0004442,HP_0004442,Sagittal craniosynostosis,"Craniosynostosis, sagittal suture|Sagittal suture synostosis|Midline skull joint closes early|Craniosynostosis, sagittal|Early closure of midline skull joint",A kind of craniosynostosis affecting the sagittal suture.
HP:0030434,HP_0030434,Pilomatrixoma, ,"Pilomatricoma is an asymptomatic slowly growing benign cutaneous tumor, differentiating towards the hair matrix of the hair follicle. It is covered by normal or hyperemic skin, and usually varies in size from 0.5 to 3 cm."
HP:0007647,HP_0007647,Congenital extraocular muscle anomaly, ,Congenital abnormality of the extraocular muscles.
HP:0011540,HP_0011540,Congenitally corrected transposition of the great arteries, ,"The essence of the lesion is the combination of discordant atrioventricular and ventriculo-arterial connections. Thus, the morphologically right atrium is connected to a morphologically left ventricle across the mitral valve, with the left ventricle then connected to the pulmonary trunk. The morphologically left atrium is connected to the morphologically right ventricle across the tricuspid valve, with the morphologically right ventricle connected to the aorta."
HP:0004684,HP_0004684,Talipes valgus, ,"Outward turning of the heel, resulting in clubfoot with the person walking on the inner part of the foot."
HP:0001126,HP_0001126,Cryptophthalmos, ,"Cryptophthalmos is a condition of total absence of eyelids and the skin of forehead is continuous with that of cheek, in which the eyeball is completely concealed by the skin, which is stretched over the orbital cavity."
HP:0000047,HP_0000047,Hypospadias,Hypospadia,"Abnormal position of urethral meatus on the ventral penile shaft (underside) characterized by displacement of the urethral meatus from the tip of the glans penis to the ventral surface of the penis, scrotum, or perineum."
