#creator_id: https://orcid.org/0000-0002-7356-1779
#curie_map:
#  HP: http://purl.obolibrary.org/obo/HP_
#  MP: http://purl.obolibrary.org/obo/MP_
#  skos: http://www.w3.org/2004/02/skos/core
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_provider: https://www.pistoiaalliance.org/projects/current-projects/ontologies-mapping/
#mapping_set_group: impc_mouse_morphology
#mapping_set_id: mp_hp_impc_xry
#mapping_set_title: 'The IMPC Mouse Morphology Mappings: X-ray Test'
subject_id	subject_label	object_id	object_label	match_type	predicate_id	reviewer_id
MP:0004648	decreased thoracic vertebrae number	HP:0030305	Decreased number of vertebrae	SSSOMC:Lexical	skos:closeMatch	
MP:0003049	abnormal lumbar vertebrae morphology	HP:0003468	Abnormal vertebral morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0004599	abnormal vertebral arch morphology	HP:0008438	Vertebral arch anomaly	SSSOMC:Lexical	skos:closeMatch	
MP:0004650	increased lumbar vertebrae number	HP:0002946	Supernumerary vertebrae	SSSOMC:Logical	skos:closeMatch	
MP:0004647	decreased lumbar vertebrae number	HP:0030305	Decreased number of vertebrae	SSSOMC:Lexical	skos:closeMatch	
MP:0004599	abnormal vertebral arch morphology	HP:0008438	Vertebral arch anomaly	SSSOMC:Lexical	skos:closeMatch	
MP:0010101	increased sacral vertebrae number	HP:0002946	Supernumerary vertebrae	SSSOMC:Logical	skos:closeMatch	
MP:0004649	decreased sacral vertebrae number	HP:0030305	Decreased number of vertebrae	SSSOMC:Lexical	skos:closeMatch	
MP:0002759	abnormal caudal vertebrae morphology	HP:0003468	Abnormal vertebral morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0004599	abnormal vertebral arch morphology	HP:0008438	Vertebral arch anomaly	SSSOMC:Lexical	skos:closeMatch	
MP:0010102	increased caudal vertebrae number	HP:0002946	Supernumerary vertebrae	SSSOMC:Logical	skos:closeMatch	
MP:0001539	decreased caudal vertebrae number	HP:0030305	Decreased number of vertebrae	SSSOMC:Lexical	skos:closeMatch	
MP:0000137	abnormal vertebrae morphology	HP:0003468	Abnormal vertebral morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0004609	vertebral fusion	HP:0002948	Vertebral fusion	SSSOMC:Lexical	skos:closeMatch	
MP:0003036	vertebral transformation	HP:0003468	Abnormal vertebral morphology	SSSOMC:Logical	skos:closeMatch	
MP:0004174	abnormal spine curvature	HP:0010674	Abnormality of the curvature of the vertebral column	SSSOMC:Logical	skos:closeMatch	
MP:0000161	scoliosis	HP:0002650	Scoliosis	SSSOMC:Lexical	skos:closeMatch	
MP:0000160	kyphosis	HP:0002808	Kyphosis	SSSOMC:Lexical	skos:closeMatch	
MP:0000162	lordosis	HP:0002938	Lumbar hyperlordosis	SSSOMC:Logical	skos:closeMatch	
MP:0004613	fusion of vertebral arches	HP:0002948	Vertebral fusion	SSSOMC:Lexical	skos:closeMatch	
MP:0004509	abnormal pelvic girdle bone morphology	HP:0002644	Abnormality of pelvic girdle bone morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0000149	abnormal scapula morphology	HP:0000782	Abnormality of the scapula	SSSOMC:Lexical	skos:closeMatch	
MP:0005298	abnormal clavicle morphology	HP:0000889	Abnormality of the clavicle	SSSOMC:Lexical	skos:closeMatch	
MP:0005296	abnormal humerus morphology	HP:0031095	Abnormal humerus morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0000552	abnormal radius morphology	HP:0045009	Abnormal morphology of the radius	SSSOMC:Lexical	skos:closeMatch	
MP:0005108	abnormal ulna morphology	HP:0040071	Abnormal morphology of ulna	SSSOMC:Lexical	skos:closeMatch	
MP:0000559	abnormal femur morphology	HP:0002823	Abnormality of femur morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0000558	abnormal tibia morphology	HP:0002992	Abnormality of tibia morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0004357	long tibia	HP:0002992	Abnormality of tibia morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0002764	short tibia	HP:0005736	Short tibia	SSSOMC:Lexical	skos:closeMatch	
MP:0002187	abnormal fibula morphology	HP:0002991	Abnormality of fibula morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0002932	abnormal joint morphology	HP:0001367	Abnormal joint morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0000562	polydactyly	HP:0010442	Polydactyly	SSSOMC:Lexical	skos:closeMatch	
MP:0000565	oligodactyly	HP:0012165	Oligodactyly	SSSOMC:Lexical	skos:closeMatch	
MP:0002110	abnormal digit morphology	HP:0011297	Abnormal digit morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0000564	syndactyly	HP:0001159	Syndactyly	SSSOMC:Lexical	skos:closeMatch	
MP:0004083	polysyndactyly	HP:0005817	Postaxial polysyndactyly of foot	SSSOMC:Logical	skos:closeMatch	
MP:0002544	brachydactyly	HP:0001156	Brachydactyly	SSSOMC:Lexical	skos:closeMatch	
