#creator_id: https://orcid.org/0000-0002-7356-1779
#curie_map:
#  HP: http://purl.obolibrary.org/obo/HP_
#  MP: http://purl.obolibrary.org/obo/MP_
#  skos: http://www.w3.org/2004/02/skos/core
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_provider: https://www.mousephenotype.org
#mapping_set_group: impc_mouse_morphology
#mapping_set_id: mp_hp_impc_pat
#mapping_set_title: 'The IMPC Mouse Morphology Mappings: Gross Pathology & Tissue Collection
#  Test (Phenotype)'
subject_id	subject_label	object_id	object_label	match_type	predicate_id	reviewer_id
MP:0000702	enlarged lymph nodes	HP:0002716	Lymphadenopathy	SSSOMC:Logical	skos:closeMatch	
MP:0002060	abnormal skin morphology	HP:0011121	Abnormality of skin morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0001199	thin skin	HP:0000963	Thin skin	SSSOMC:Lexical	skos:closeMatch	
MP:0001200	thick skin	HP:0001072	Thickened skin	SSSOMC:Lexical	skos:closeMatch	
MP:0001192	scaly skin	HP:0040189	Scaling skin	SSSOMC:Lexical	skos:closeMatch	
MP:0001211	wrinkled skin	HP:0007392	Excessive wrinkled skin	SSSOMC:Lexical	skos:closeMatch	
MP:0000759	abnormal skeletal muscle morphology	HP:0011805	Abnormal skeletal muscle morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0004819	decreased skeletal muscle mass	HP:0001460	Aplasia/Hypoplasia involving the skeletal musculature	SSSOMC:Logical	skos:closeMatch	
MP:0004818	increased skeletal muscle mass	HP:0003712	Skeletal muscle hypertrophy	SSSOMC:Logical	skos:closeMatch	
MP:0000538	abnormal urinary bladder morphology	HP:0025487	Abnormality of bladder morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0009252	absent urinary bladder	HP:0010476	Aplasia/Hypoplasia of the bladder	SSSOMC:Logical	skos:closeMatch	
MP:0009552	urinary bladder obstruction	HP:0041047	Bladder outlet obstruction	SSSOMC:Lexical	skos:closeMatch	
MP:0011625	cystolithiasis	HP:0010474	Bladder stones	SSSOMC:Logical	skos:closeMatch	
MP:0011874	enlarged urinary bladder	HP:0008635	Hypertrophy of the urinary bladder	SSSOMC:Logical	skos:closeMatch	
MP:0001146	abnormal testis morphology	HP:0000035	Abnormal testis morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0001148	enlarged testes	HP:0000053	Macroorchidism	SSSOMC:Logical	skos:closeMatch	
MP:0001147	small testis	HP:0008734	Decreased testicular size	SSSOMC:Logical	skos:closeMatch	
MP:0006415	absent testes	HP:0010469	Absent testis	SSSOMC:Lexical	skos:closeMatch	
MP:0002286	cryptorchism	HP:0000028	Cryptorchidism	SSSOMC:Lexical	skos:closeMatch	
MP:0002631	abnormal epididymis morphology	HP:0009714	Abnormality of the epididymis	SSSOMC:Lexical	skos:closeMatch	
MP:0004727	absent epididymus	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0004930	small epididymus	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0004931	enlarged epididymus	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0001158	abnormal prostate gland morphology	HP:0008775	Abnormal prostate morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0001159	absent prostate gland	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0004958	enlarged prostate gland	HP:0008711	Benign prostatic hyperplasia	SSSOMC:Logical	skos:closeMatch	
MP:0002774	small prostate gland	HP:0008687	Hypoplasia of the prostate	SSSOMC:Logical	skos:closeMatch	
MP:0002059	abnormal seminal vesicle morphology	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0003642	absent seminal vesicle	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0002997	enlarged seminal vesicle	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0001157	small seminal vesicle	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0001126	abnormal ovary morphology	HP:0031065	Abnormal ovarian morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0003578	absent ovary	HP:0010463	Aplasia of the ovary	SSSOMC:Logical	skos:closeMatch	
MP:0001127	small ovary	HP:0009724	Hypoplasia of the ovary	SSSOMC:Logical	skos:closeMatch	
MP:0004832	enlarged ovary	HP:0100879	Enlarged ovaries	SSSOMC:Lexical	skos:closeMatch	
MP:0001102	abnormal uterus morphology	HP:0031105	Abnormal uterus morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0003558	absent uterus	HP:0000151	Aplasia of the uterus	SSSOMC:Logical	skos:closeMatch	
MP:0002637	small uterus	HP:0000013	Hypoplasia of the uterus	SSSOMC:Logical	skos:closeMatch	
MP:0004906	enlarged uterus	HP:0100878	Enlarged uterus	SSSOMC:Lexical	skos:closeMatch	
MP:0009084	blind uterus	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0009709	hydrometra	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP ontology_term	MP ontology_term_name	HP ontology_term	HP ontology_term_name	SSSOMC:HumanCurated	skos:closeMatch	
MP:0000613	abnormal salivary gland morphology	HP:0010286	Abnormal salivary gland morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0000614	absent salivary gland	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0000618	small salivary gland	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0009516	enlarged salivary gland	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0000157	abnormal sternum morphology	HP:0000766	Abnormality of the sternum	SSSOMC:Lexical	skos:closeMatch	
MP:0000158	absent sternum	HP:0010308	Asternia	SSSOMC:Logical	skos:closeMatch	
MP:0004321	short sternum	HP:0000879	Short sternum	SSSOMC:Lexical	skos:closeMatch	
MP:0012279	wide sternum	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0004320	split sternum	HP:0010309	Bifid sternum	SSSOMC:Logical	skos:closeMatch	
MP:0000559	abnormal femur morphology	HP:0002823	Abnormality of femur morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0004349	absent femur	HP:0012274	Femoral aplasia	SSSOMC:Logical	skos:closeMatch	
MP:0004348	long femur	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0003109	short femur	HP:0003097	Short femur	SSSOMC:Lexical	skos:closeMatch	
MP:0002397	abnormal bone marrow morphology	HP:0005561	Abnormality of bone marrow cell morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0000558	abnormal tibia morphology	HP:0002992	Abnormality of tibia morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0002728	absent tibia	HP:0009556	Absent tibia	SSSOMC:Lexical	skos:closeMatch	
MP:0004357	long tibia	HP:0010504	Increased length of the tibia	SSSOMC:Lexical	skos:closeMatch	
MP:0002764	short tibia	HP:0005736	Short tibia	SSSOMC:Lexical	skos:closeMatch	
MP:0002932	abnormal joint morphology	HP:0001367	Abnormal joint morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0003189	fused joints	HP:0100240	Synostosis of joints	SSSOMC:Logical	skos:closeMatch	
MP:0001092	abnormal trigeminal ganglion morphology	HP:0410016	Abnormality of cranial ganglion	SSSOMC:Lexical	skos:closeMatch	
MP:0001095	enlarged trigeminal ganglion	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0001093	small trigeminal ganglion	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0002237	abnormal nasal cavity morphology	HP:0010640	Abnormality of the nasal cavity	SSSOMC:Lexical	skos:closeMatch	
MP:0002102	abnormal ear morphology	HP:0031703	Abnormal ear morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0003678	absent ear lobes	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0000017	big ears	HP:0000400	Macrotia	SSSOMC:Logical	skos:closeMatch	
MP:0000018	small ears	HP:0008551	Microtia	SSSOMC:Logical	skos:closeMatch	
MP:0002689	abnormal molar morphology	HP:0011070	Abnormality of molar morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0005358	anbornormal incisor morphology	HP:0011063	Abnormality of incisor morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0013129	abnormal tooth colour	HP:0011073	Abnormality of dental color	SSSOMC:Lexical	skos:closeMatch	
MP:0000762	abnormal tongue morphology	HP:0030809	Abnormal tongue morphology	SSSOMC:Lexical	skos:closeMatch	
MP:0009905	absent tongue	HP:0010295	Aplasia/Hypoplasia of the tongue	SSSOMC:Logical	skos:closeMatch	
MP:0009907	decreased tongue size	HP:0000171	Microglossia	SSSOMC:Logical	skos:closeMatch	
MP:0009906	increased tongue size	HP:0000158	Macroglossia	SSSOMC:Logical	skos:closeMatch	
MP:0002651	abnormal sciatic nerve morphology	HP:0045010	Abnormality of peripheral nerves	SSSOMC:Logical	skos:closeMatch	
MP:0003795	abnormal bone structure	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0000633	abnormal pituitary gland morphology	HP:0012503	Abnormality of the pituitary gland	SSSOMC:Lexical	skos:closeMatch	
MP:0000636	enlarged pituitary gland	HP:0012505	Enlarged pituitary gland	SSSOMC:Lexical	skos:closeMatch	
MP:0005361	small pituitary gland	HP:0012506	Small pituitary gland	SSSOMC:Lexical	skos:closeMatch	
MP:0005315	absent pituitary gland	HP:0410279	Atrophic parotid gland	SSSOMC:Logical	skos:closeMatch	
MP:0011156	abnormal hypodermis fat layer morphology	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0008844	decreased subcutaneous adipose tissue amount	HP:0003758	Reduced subcutaneous fat	SSSOMC:Logical	skos:closeMatch	
MP:0010934	increased subcutaneous adipose tissue amount	HP:0009003	Increased subcutaneous truncal adipose tissue	SSSOMC:Logical	skos:closeMatch	
MP:0002970	abnormal white adipose tissue morphology	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0001783	decreased white adipose tissue amount	HP:0025128	Reduced intraabdominal adipose tissue	SSSOMC:Logical	skos:closeMatch	
MP:0001782	increased white adipose tissue amount	HP:0008993	Increased intraabdominal fat	SSSOMC:Logical	skos:closeMatch	
MP:0002971	abnormal brown fat morphology	sssom:NoTermFound	No Term Found	SSSOMC:HumanCurated	skos:closeMatch	
MP:0007180	decreased brown fat amount	HP:0005995	Decreased adipose tissue around neck	SSSOMC:Logical	skos:closeMatch	
MP:0000005	increased brown fat amount	HP:0000468	Increased adipose tissue around neck	SSSOMC:Logical	skos:closeMatch	
