#mapping_set_id: https://w3id.org/sssom/commons/mouse-human/mappings/mp_hp_mgi_all.sssom.tsv
#mapping_set_title: All mappings of MP terms to HPO terms generated by MGI
#mapping_set_description: "Consolidated list of all HPO to MP mappings done by MGI. In the comments section the project that was the source of the list is listed. Some terms came from more than one source. The KidsFirst list was a list of HPO terms provided by the KidsFirst team from the set of terms used for patients in their cohorts. The scoliosis, Alzheimer, cleft palate, Down Syndrome, CHARGE Syndrome, Cornelia De Lange Syndrome, and COVID term sets were generated by MGI for symptoms or phenotypes associated with the disease. For the COVID set the references for each sign or symptom are listed in the Other column. Initially the mapping dates for the KidsFirst mappings were not tracked, so these were given the date of when we received the file (5/27/21).  The scoliosis, cleft palate, Down Syndrome, CHARGE Syndrome, and Cornelia De Lange Syndrome sets consist of MP terms that are associated with mouse models of scoliosis. For Down Syndrome, CHARGE Syndrome, and Cornelia De Lange Syndrome HPO terms associated with each disease were also pulled from the HPO files for mapping. The Alzheimer and COVID sets were created by identifying symptoms and signs for patients from the literature then identifying the relevant MP and HP terms and finally mapping the identified terms to terms in the other ontology. Use of skos mappings terms: exact match: MP term is the same as the HPO term, ignoring that the HP term applies only to humans; broad match: HPO term covers more than the MP term, ignoring the species restriction; narrow match: HPO term is more restricted than the MP term; related match: MP term and HPO term share some similarity but would not have a parent-child relation in a shared ontology."
#creator_id:
# - orcid:0000-0003-4606-0597
# - orcid:0000-0002-6490-7723
# - orcid:0000-0003-2307-1226
# - ror:021sy4w91
# - wikidata:Q1951035
#license: https://creativecommons.org/licenses/by/4.0/
#object_source: obo:hp
#subject_source: obo:mp
#curie_map:
# HP: http://purl.obolibrary.org/obo/HP_
# MP: http://purl.obolibrary.org/obo/MP_
# skos: http://www.w3.org/2004/02/skos/core#
# orcid: https://orcid.org/
# ror: https://ror.org/
# wikidata: https://www.wikidata.org/wiki/
# obo: http://purl.obolibrary.org/obo/
# semapv: https://w3id.org/semapv/vocab/
object_id	object_label	predicate_id	confidence	subject_id	subject_label	mapping_justification	author_id	mapping_date	comment	other
HP:0000054	Micropenis	skos:narrowMatch	1	MP:0005188	small penis	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723	2021-05-27	KidsFirst; MP definition just refers to reduced size, does not specify penis length but uses microphallus and micropenis as exact synonyms. Also, EQ for HPO term uses hypoplastic rather than decreased size	
HP:0000070	Ureterocele	skos:exactMatch	0.9	MP:0011767	ureterocele	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-08-10	KidsFirst; each definition has details that may or may not be essential to the differentia of the phenotype, checked Tabers and other sources and I think these are defining the same thing	
HP:0000074	Ureteropelvic junction obstruction	skos:exactMatch	1	MP:0011491	ureteropelvic junction obstruction	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst	
HP:0000075	Renal duplication	skos:narrowMatch	0.8	MP:0004017	duplex kidney	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-02-11	KidsFirst; MP term specifies that the kidney is split but there may or may not be duplication of the ureter, HPO definition specifies duplication of the kidney, renal pelvis and ureter. However, partial duplication of the kidney is a child of renal duplication so possibly the definition is overly restrictive?	
HP:0000077	Abnormality of the kidney	skos:narrowMatch	1	MP:0005367	renal/urinary system phenotype	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst; In this case MP term not only includes normals but it also includes urinary system phenotypes in addition to kidney phenotypes	
HP:0000079	Abnormality of the urinary system	skos:narrowMatch	1	MP:0005367	renal/urinary system phenotype	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-01-26	KidsFirst; Direct annotations to this term are for normal annotations but all children are abnormal	
HP:0000081	Duplicated collecting system	skos:narrowMatch	0.6	MP:0011803	double kidney pelvis	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-09-30	KidsFirst; The MP does not have a term for renal collecting system but looking at the HPO definition of duplicated collecting system, in particulatr kidney with two (instead of, normally, one) pyelocaliceal systems. The pyelocaliceal system is comprised of the renal pelvis and calices. and the Uberon and MP organization of renal pelvis and renal calyx (calyx is part of pelvis), it seemed to me that the MP double pelvis term is as close as I could get. There may be some distinction I'm missing as the HPO has a term for Duplication of renal pelvis (HP:0005580) but it is unclear to me how this is distinct from duplicated collecting system. I'm guessing that the pelvis includes parts that are not part of the collecting system? Uberon has a term for renal collecting system (UBERON:0004100) defined as collecting duct system of the kidney consists of a series of tubules and ducts that connect the nephrons to the ureter and this has no connection to the renal pelvis and calyx. Given that the duplicated HP term specifies pelvis and calices I would have expected some connection.	
HP:0000083	Renal insufficiency	skos:exactMatch	0.9	MP:0003606	kidney failure	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597|orcid:0000-0002-6490-7723	2021-12-31	COVID	PMID:32489502
HP:0000085	Horseshoe kidney	skos:narrowMatch	1	MP:0003605	fused kidneys	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723	2021-09-20	KidsFirst; HPO term for Horseshoe kidney HP:0000085 uses Fused kidneys as a broad synonym. Conversely, MP term for fused kidneys MP:0003605 uses horseshoe kidney as a narrow synonym	
HP:0000086	Ectopic kidney	skos:exactMatch	1	MP:0003600	ectopic kidney	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723	2021-09-20	KidsFirst; MP term definition provides additional detail such as usual cause and sites of ectopic kidneys but terms are essentially equivalent; both MP and HPO terms use renal ectopia as an exact synonym	
HP:0000089	Renal hypoplasia	skos:exactMatch	1	MP:0003446	renal hypoplasia	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723|orcid:0000-0003-4606-0597	2022-01-25	KidsFirst	
HP:0000093	Proteinuria	skos:exactMatch	1	MP:0002962	increased urine protein level	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597|orcid:0000-0002-6490-7723	2021-12-31	COVID	PMID:32412303, PMID:32345702, PMID:32620220
HP:0000104	Renal agenesis	skos:broadMatch	0.9	MP:0000520	absent kidney	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst; absence of both kidneys, HPO term has child terms for bilateral and unilateral renal agenesis that would be exact matches to the MP terms	
HP:0000104	Renal agenesis	skos:broadMatch	0.9	MP:0003604	single kidney	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst	
HP:0000105	Enlarged kidney	skos:exactMatch	1	MP:0003068	enlarged kidney	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723	2021-12-20	KidsFirst	
HP:0000107	Renal cyst	skos:exactMatch	0.9	MP:0003675	kidney cyst	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst; while the HP term is singular and the MP plural, the HP term has multiple cysts as a child term and the MP term does not specify that it has to be multiple, so I think these are an exact match	
HP:0000110	Renal dysplasia	skos:broadMatch	0.9	MP:0000527	abnormal kidney development	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst	
HP:0000110	Renal dysplasia	skos:narrowMatch	0.9	MP:0002135	abnormal kidney morphology	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst; HPO terms covers both devlopment and morphology, no exact match in MP	
HP:0000113	Polycystic kidney dysplasia	skos:narrowMatch	0.8	MP:0008528	polycystic kidney	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst; MP term definition does not specify both kidneys	
HP:0000118	Phenotypic abnormality	skos:narrowMatch	1	MP:0000001	mammalian phenotype	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723|orcid:0000-0003-4606-0597	2021-05-27	KidsFirst; the best you could do is the MP root term that covers all phenotypes both normal and abnormal	
HP:0000122	Unilateral renal agenesis	skos:exactMatch	1	MP:0003604	single kidney	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst	
HP:0000123	Nephritis	skos:exactMatch	1	MP:0001859	kidney inflammation	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597|orcid:0000-0002-6490-7723	2021-12-31	COVID	PMID:32423587
HP:0000125	Pelvic kidney	skos:exactMatch	1	MP:0011361	pelvic kidney	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-02-11	KidsFirst; add synonym	
HP:0000126	Hydronephrosis	skos:exactMatch	1	MP:0000519	hydronephrosis	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst	
HP:0000133	Gonadal dysgenesis	skos:narrowMatch	0.8	MP:0002211	abnormal primary sex determination	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-01-27	KidsFirst; uncertainty due to absence of definition for HPO term, based on definition of child terms and placement in the hierarchy I think the MP term is broader than the HPO term	
HP:0000158	Macroglossia	skos:narrowMatch	1	MP:0009906	increased tongue size	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723	2021-05-27	KidsFirst; MP definition does not specify increased length and width	
HP:0000174	Abnormal palate morphology	skos:exactMatch	1	MP:0003755	abnormal palate morphology	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst	
HP:0000175	Cleft palate	skos:exactMatch	1	MP:0000111	cleft palate	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst	
HP:0000185	Cleft soft palate	skos:narrowMatch	0.9	MP:0013546	cleft soft palate	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723	2021-05-27	KidsFirst; MP definition does not specify time window of developmental defect or its functional consequences	
HP:0000218	High palate	skos:narrowMatch	1	MP:0003757	high palate	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-01-27	KidsFirst; broad as the MP term does not have the 2SD above the mean restriction	
HP:0000219	Thin upper lip vermilion	skos:relatedMatch	1	MP:0030168	thin upper lip	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-02-11	KidsFirst	
HP:0000224	Hypogeusia	skos:exactMatch	1	MP:0031091	hypogeusia	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597|orcid:0000-0002-6490-7723	2021-12-31	COVID	PMID:32464367
HP:0000238	Hydrocephalus	skos:narrowMatch	0.7	MP:0001891	hydrocephaly	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst; Issue is with the HPO definition that specifies the cause resulting from inadequate passage of CSF from its point of production within the cerebral ventricles to its point of absorption, MP term does not specify a cause. However, both MP and HPO have non-obstructive hydrocephaly/Communicating hydrocephalus as a child term and this type of hydrocephaly does not have an issue with passage. The MP definition for the child term abnormal cerebrospinal fluid absorption where there is no obstruction to fluid flow in the ventricular system indicating that in this form the absorption is the issue. Based on child terms it is possibly that the hydrocephaly/hydrocephalus terms in MP and HP should be exact.	
HP:0000243	Trigonocephaly	skos:exactMatch	1	MP:0030368	trigonocephaly	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723	2022-08-10	KidsFirst	
HP:0000252	Microcephaly	skos:narrowMatch	0.8	MP:0000433	microcephaly	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst; MP specifies size not circumference and does not specify how much smaller	
HP:0000256	Macrocephaly	skos:narrowMatch	0.9	MP:0000434	megacephaly	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst; MP term just specifies abnormally large size of the head not as specific as the HPO term	
HP:0000268	Dolichocephaly	skos:exactMatch	0.9	MP:0003742	narrow head	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2023-11-15	KidsFirst; HP specifies increased or apparently increased anterior-posterior length but MP specifies reduced width, is we look only at the second alternative definition we could call this exact	
HP:0000271	Abnormality of the face	skos:broadMatch	0.9	MP:0003743	abnormal facial morphology	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst; I think the HPO term is broader as it has children like rhinitis which we would not put under facial morphology	
HP:0000286	Epicanthus	skos:broadMatch	1	MP:0006168	epicanthus inversus	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-01-25	KidsFirst; consider adding a new term for this that would be a parent to existing term	
HP:0000316	Hypertelorism	skos:exactMatch	0.9	MP:0001300	ocular hypertelorism	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2023-11-15	KidsFirst; MP term does not include the 2 SD requirement but would be an exact match to the alternate definition	
HP:0000322	Short philtrum	skos:narrowMatch	0.9	MP:0030193	short philtrum	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723	2021-09-20	KidsFirst; MP term definition does not include exact measurements and does not use vertical hypoplasia of philtrum as an exact synonym so I consider the MP term to be borader than the HPO term	
HP:0000324	Facial asymmetry	skos:exactMatch	1	MP:0030099	facial asymmetry	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst	
HP:0000329	Facial hemangioma	skos:relatedMatch	1	MP:0031292	increased facial hemangioma incidence	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723	2022-04-11	KidsFirst; MP has increased hemangioma incidence (MP:0002947) and specific terms for retinal and oral mucosa. There is also a generic hemangioma term but I think that should be obsoleted. In general for tumors we have abnormal tumor incidence terms rather than just bare tumor terms. We could add an abnormal and/or increased facial hemangioma incidence terms	
HP:0000340	Sloping forehead	skos:exactMatch	1	MP:0030048	sloping forehead	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723|orcid:0000-0003-4606-0597	2022-02-11	KidsFirst; MP term definition is an exact match to the alternative HPO term definition	
HP:0000341	Narrow forehead	skos:narrowMatch	1	MP:0030045	abnormal forehead shape	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723|orcid:0000-0003-4606-0597	2022-02-11	KidsFirst; no annotations in MGI for narrow	
HP:0000347	Micrognathia	skos:narrowMatch	0.9	MP:0002639	micrognathia	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst; MP specifies reduced size of the jaws, especially of the mandible HPO is specifically mandible hypoplasia, MP term has mandibular hypoplasia as a narrow synonym	
HP:0000358	Posteriorly rotated ears	skos:exactMatch	1	MP:0003715	posteriorly rotated ears	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-01-25	KidsFirst	
HP:0000359	Abnormality of the inner ear	skos:exactMatch	1	MP:0000026	abnormal inner ear morphology	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-01-27	KidsFirst	
HP:0000360	Tinnitus	skos:exactMatch	1	MP:0003741	tinnitus	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597|orcid:0000-0002-6490-7723	2021-12-31	COVID	PMID:33095432, PMID:32755405
HP:0000364	Hearing abnormality	skos:exactMatch	0.8	MP:0001963	abnormal hearing physiology	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst; MP definition is any functional anomaly in the ability to perceive auditory stimuli, I think this is an exact match to the HPO term	
HP:0000365	Hearing impairment	skos:exactMatch	1	MP:0006325	impaired hearing	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst	
HP:0000369	Low-set ears	skos:narrowMatch	0.9	MP:0000024	lowered ear position	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst; HP term is specific to the location of human ears on the head, MP covers any lowered ear position	
HP:0000372	Abnormality of the auditory canal	skos:exactMatch	1	MP:0006033	abnormal external auditory canal morphology	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-01-27	KidsFirst	
HP:0000378	Cupped ear	skos:narrowMatch	0.9	MP:0003735	cup-shaped ears	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723|orcid:0000-0003-4606-0597	2022-02-11	KidsFirst; definitions are very different but I am reasonably confident that the HP term would within the range of the MP term, uncertainty mainly about wether this could be an exact or close match	
HP:0000384	Preauricular skin tag	skos:exactMatch	1	MP:0031305	preauricular skin tag	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723	2021-10-12	KidsFirst; child of abnormal periauricular region morphology (MP:0030096)	
HP:0000396	Overfolded helix	skos:narrowMatch	1	MP:0030092	abnormal outer ear helix morphology	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723|orcid:0000-0003-4606-0597	2022-02-11	KidsFirst	
HP:0000402	Stenosis of the external auditory canal	skos:exactMatch	1	MP:0031285	external auditory canal stenosis	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723	2021-05-27	KidsFirst	
HP:0000405	Conductive hearing impairment	skos:exactMatch	1	MP:0006326	conductive hearing impairment	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-01-25	KidsFirst	
HP:0000407	Sensorineural hearing impairment	skos:exactMatch	1	MP:0006329	sensorineural hearing impairment	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-01-26	KidsFirst	
HP:0000411	Protruding ear	skos:narrowMatch	1	MP:0000021	prominent ears	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723	2021-09-20	KidsFirst; MP does not specifiy exact measurements so I consider this broader than the HPO term	
HP:0000413	Atresia of the external auditory canal	skos:exactMatch	1	MP:0009707	absent external auditory canal	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-01-25	KidsFirst	
HP:0000431	Wide nasal bridge	skos:exactMatch	1	MP:0000449	broad nasal bridge	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723|orcid:0000-0003-4606-0597	2022-08-10	KidsFirst; both terms use the same logical definition so I think these are the same despite differences in the text definitions	
HP:0000453	Choanal atresia	skos:exactMatch	1	MP:0008970	choanal atresia	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723	2021-09-20	KidsFirst; MP definition specifies blockage of the back of the nasal passage by abnormal bony or soft tissue and additional detail on developmental cause. However, HPO term uses blockage and obstruction of the rear opening of the nasal cavity as exact synonyms, and both MP and HPO terms use atretic (= absence or abnormal closure) in the eqs so I think these are equivalent	
HP:0000458	Anosmia	skos:exactMatch	1	MP:0004512	anosmia	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597|orcid:0000-0002-6490-7723	2021-12-31	COVID	PMID:32464367, PMID:32383370, PMID:32587625, PMID:32563019, PMID:32620220
HP:0000464	Abnormality of the neck	skos:broadMatch	1	MP:0012719	abnormal neck morphology	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723|orcid:0000-0003-4606-0597	2022-02-11	KidsFirst; MP term is limited to morphology, HPO term could refer to morphology or physiology	
HP:0000465	Webbed neck	skos:narrowMatch	0.9	MP:0012077	webbed neck	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-06-21	KidsFirst	
HP:0000470	Short neck	skos:exactMatch	1	MP:0012721	short neck	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723	2021-05-27	KidsFirst	
HP:0000473	Torticollis	skos:exactMatch	1	MP:0030126	torticollis	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723	2021-05-27	KidsFirst	
HP:0000476	Cystic hygroma	skos:narrowMatch	1	MP:0031310	abnormal cyst	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-06-21	KidsFirst	
HP:0000486	Strabismus	skos:narrowMatch	1	MP:0005254	strabismus	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst; MP is defined as misalignment of the visual axes of the eyes without reference to bifoveal fixation	
HP:0000508	Ptosis	skos:narrowMatch	0.8	MP:0001344	blepharoptosis	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst; MP just specifies drooping does not include exact measurements as these would differ for different species	
HP:0000509	Conjunctivitis	skos:exactMatch	1	MP:0001311	conjunctivitis	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597|orcid:0000-0002-6490-7723	2021-12-31	COVID	PMID:32232433, PMID:32574165, PMID:32620220
HP:0000519	Developmental cataract	skos:exactMatch	1	MP:0031345	developmental cataract	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597|orcid:0000-0002-6490-7723	2022-02-01	KidsFirst; ticket https://github.com/mgijax/mammalian-phenotype-ontology/issues/3499	
HP:0000520	Proptosis	skos:exactMatch	1	MP:0002750	exophthalmos	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723|orcid:0000-0003-4606-0597	2022-06-21	KidsFirst	
HP:0000527	Long eyelashes	skos:exactMatch	1	MP:0031288	long eyelid cilia	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-06-21	KidsFirst; MP term matches the subjective definition	
HP:0000528	Anophthalmia	skos:exactMatch	1	MP:0001293	anophthalmia	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-06-21	KidsFirst	
HP:0000565	Esotropia	skos:exactMatch	1	MP:0005256	esotropia	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-01-27	KidsFirst	
HP:0000568	Microphthalmia	skos:exactMatch	0.8	MP:0001297	microphthalmia	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2021-05-27	KidsFirst; MP definition uses plural eyes, but I think these are exact match and I would not be surprised to find annotations of models with unilateral microphthalmia annotated to the MP term, we may want to clarify the definition	
HP:0000577	Exotropia	skos:exactMatch	1	MP:0005255	exotropia	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-06-21	KidsFirst	
HP:0000579	Nasolacrimal duct obstruction	skos:broadMatch	1	MP:0013451	nasolacrimal duct obstruction	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723	2021-12-20	KidsFirst; MP term definition refers specifically to the nasolacrimal duct whereas the HPO definition refers to the lacrimal duct (According to Taber's a lacrimal duct is any of the small excretory ducts of the lacrimal glands)	
HP:0000582	Upslanted palpebral fissure	skos:narrowMatch	1	MP:0001340	abnormal eyelid morphology	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-06-21	KidsFirst	
HP:0000587	Abnormality of the optic nerve	skos:exactMatch	1	MP:0001330	abnormal optic nerve morphology	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-01-27	KidsFirst	
HP:0000588	Optic nerve coloboma	skos:narrowMatch	0.9	MP:0010717	optic nerve coloboma	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-06-21	KidsFirst; MP term does not specify extends inferiorly	
HP:0000601	Hypotelorism	skos:exactMatch	1	MP:0006197	ocular hypotelorism	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723	2021-12-20	KidsFirst	
HP:0000609	Optic nerve hypoplasia	skos:exactMatch	1	MP:0006221	optic nerve hypoplasia	semapv:ManualMappingCuration	orcid:0000-0002-6490-7723	2021-05-27	KidsFirst	
HP:0000613	Photophobia	skos:exactMatch	1	MP:0013787	photophobia	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597|orcid:0000-0002-6490-7723	2021-12-31	COVID	PMID:32421258
HP:0000622	Blurred vision	skos:exactMatch	1	MP:0006149	decreased visual acuity	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597|orcid:0000-0002-6490-7723	2021-12-31	COVID	PMID:32421258
HP:0000627	Posterior embryotoxon	skos:narrowMatch	1	MP:0006250	abnormal line of Schwalbe morphology	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-06-21	KidsFirst	
HP:0000639	Nystagmus	skos:narrowMatch	0.9	MP:0004844	abnormal vestibuloocular reflex	semapv:ManualMappingCuration	orcid:0000-0003-4606-0597	2022-06-21	KidsFirst; The MP term covers any abnormality in this reflex	
