p1,p2,cat,label_x,label_y,o1,o2
http://purl.obolibrary.org/obo/HP_0031380,http://purl.obolibrary.org/obo/MP_0005153,lexical,Abnormal B cell proliferation (HPO),abnormal B cell proliferation (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0005153,http://purl.obolibrary.org/obo/HP_0031380,lexical,abnormal B cell proliferation (MPO),Abnormal B cell proliferation (HPO),MP,HP
http://purl.obolibrary.org/obo/MP_0008397,http://purl.obolibrary.org/obo/HP_0030334,lexical,"abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell morphology (MPO)","Abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell morphology (HPO)",MP,HP
http://purl.obolibrary.org/obo/HP_0030334,http://purl.obolibrary.org/obo/MP_0008397,lexical,"Abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell morphology (HPO)","abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell morphology (MPO)",HP,MP
http://purl.obolibrary.org/obo/MP_0010508,http://purl.obolibrary.org/obo/HP_0003115,lexical,abnormal heart electrocardiography waveform feature (MPO),Abnormal EKG (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0003115,http://purl.obolibrary.org/obo/MP_0010508,lexical,Abnormal EKG (HPO),abnormal heart electrocardiography waveform feature (MPO),HP,MP
http://purl.obolibrary.org/obo/HP_0410240,http://purl.obolibrary.org/obo/MP_0020171,lexical,Abnormal IgA level (HPO),abnormal IgA level (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0020171,http://purl.obolibrary.org/obo/HP_0410240,lexical,abnormal IgA level (MPO),Abnormal IgA level (HPO),MP,HP
http://purl.obolibrary.org/obo/MP_0020172,http://purl.obolibrary.org/obo/HP_0410244,lexical,abnormal IgD level (MPO),Abnormal IgD level (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0410244,http://purl.obolibrary.org/obo/MP_0020172,lexical,Abnormal IgD level (HPO),abnormal IgD level (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0020173,http://purl.obolibrary.org/obo/HP_0410241,lexical,abnormal IgE level (MPO),Abnormal IgE level (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0410241,http://purl.obolibrary.org/obo/MP_0020173,lexical,Abnormal IgE level (HPO),abnormal IgE level (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0020174,http://purl.obolibrary.org/obo/HP_0410242,lexical,abnormal IgG level (MPO),Abnormal IgG level (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0410242,http://purl.obolibrary.org/obo/MP_0020174,lexical,Abnormal IgG level (HPO),abnormal IgG level (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0020180,http://purl.obolibrary.org/obo/HP_0410243,lexical,abnormal IgM level (MPO),Abnormal IgM level (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0410243,http://purl.obolibrary.org/obo/MP_0020180,lexical,Abnormal IgM level (HPO),abnormal IgM level (MPO),HP,MP
http://purl.obolibrary.org/obo/HP_0031871,http://purl.obolibrary.org/obo/MP_0008117,lexical,Abnormal Langerhans cell morphology (HPO),abnormal Langerhans cell morphology (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0008117,http://purl.obolibrary.org/obo/HP_0031871,lexical,abnormal Langerhans cell morphology (MPO),Abnormal Langerhans cell morphology (HPO),MP,HP
http://purl.obolibrary.org/obo/MP_0004070,http://purl.obolibrary.org/obo/HP_0031595,lexical,abnormal P wave (MPO),Abnormal P wave (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0031595,http://purl.obolibrary.org/obo/MP_0004070,lexical,Abnormal P wave (HPO),abnormal P wave (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0003901,http://purl.obolibrary.org/obo/HP_0031593,lexical,abnormal PR interval (MPO),Abnormal PR interval (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0031593,http://purl.obolibrary.org/obo/MP_0003901,lexical,Abnormal PR interval (HPO),abnormal PR interval (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0003898,http://purl.obolibrary.org/obo/HP_0025074,lexical,abnormal QRS complex (MPO),Abnormal QRS complex (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0025074,http://purl.obolibrary.org/obo/MP_0003898,lexical,Abnormal QRS complex (HPO),abnormal QRS complex (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0003899,http://purl.obolibrary.org/obo/HP_0031547,lexical,abnormal QT interval (MPO),Abnormal QT interval (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0031547,http://purl.obolibrary.org/obo/MP_0003899,lexical,Abnormal QT interval (HPO),abnormal QT interval (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0011920,http://purl.obolibrary.org/obo/HP_0032195,lexical,abnormal S wave (MPO),Abnormal S wave (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0032195,http://purl.obolibrary.org/obo/MP_0011920,lexical,Abnormal S wave (HPO),abnormal S wave (MPO),HP,MP
http://purl.obolibrary.org/obo/HP_0012249,http://purl.obolibrary.org/obo/MP_0003897,lexical,Abnormal ST segment (HPO),abnormal ST segment (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0003897,http://purl.obolibrary.org/obo/HP_0012249,lexical,abnormal ST segment (MPO),Abnormal ST segment (HPO),MP,HP
http://purl.obolibrary.org/obo/MP_0001828,http://purl.obolibrary.org/obo/HP_0410035,lexical,abnormal T cell activation (MPO),Abnormal T cell activation (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0410035,http://purl.obolibrary.org/obo/MP_0001828,lexical,Abnormal T cell activation (HPO),abnormal T cell activation (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0008037,http://purl.obolibrary.org/obo/HP_0002843,lexical,abnormal T cell morphology (MPO),Abnormal T cell morphology (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0002843,http://purl.obolibrary.org/obo/MP_0008037,lexical,Abnormal T cell morphology (HPO),abnormal T cell morphology (MPO),HP,MP
http://purl.obolibrary.org/obo/HP_0031379,http://purl.obolibrary.org/obo/MP_0005094,lexical,Abnormal T cell proliferation (HPO),abnormal T cell proliferation (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0005094,http://purl.obolibrary.org/obo/HP_0031379,lexical,abnormal T cell proliferation (MPO),Abnormal T cell proliferation (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0030684,http://purl.obolibrary.org/obo/MP_0004891,lexical,Abnormal adiponectin level (HPO),abnormal adiponectin level (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0004891,http://purl.obolibrary.org/obo/HP_0030684,lexical,abnormal adiponectin level (MPO),Abnormal adiponectin level (HPO),MP,HP
http://purl.obolibrary.org/obo/MP_0000003,http://purl.obolibrary.org/obo/ZP_0022475,lexical,abnormal adipose tissue morphology (MPO),"adipose tissue morphology, abnormal (ZPO)",MP,ZP
http://purl.obolibrary.org/obo/ZP_0022475,http://purl.obolibrary.org/obo/MP_0000003,lexical,"adipose tissue morphology, abnormal (ZPO)",abnormal adipose tissue morphology (MPO),ZP,MP
http://purl.obolibrary.org/obo/XPO_0102320,http://purl.obolibrary.org/obo/HP_0009124,lexical,abnormal adipose tissue morphology (XPO),Abnormal adipose tissue morphology (HPO),XPO,HP
http://purl.obolibrary.org/obo/HP_0009124,http://purl.obolibrary.org/obo/XPO_0102320,lexical,Abnormal adipose tissue morphology (HPO),abnormal adipose tissue morphology (XPO),HP,XPO
http://purl.obolibrary.org/obo/MP_0012762,http://purl.obolibrary.org/obo/HP_0030333,lexical,abnormal alpha-beta T cell morphology (MPO),Abnormal alpha-beta T cell morphology (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0030333,http://purl.obolibrary.org/obo/MP_0012762,lexical,Abnormal alpha-beta T cell morphology (HPO),abnormal alpha-beta T cell morphology (MPO),HP,MP
http://purl.obolibrary.org/obo/HP_0004328,http://purl.obolibrary.org/obo/MP_0005193,lexical,Abnormal anterior eye segment morphology (HPO),abnormal anterior eye segment morphology (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0005193,http://purl.obolibrary.org/obo/HP_0004328,lexical,abnormal anterior eye segment morphology (MPO),Abnormal anterior eye segment morphology (HPO),MP,HP
http://purl.obolibrary.org/obo/MP_0004113,http://purl.obolibrary.org/obo/XPO_0101749,lexical,abnormal aortic arch morphology (MPO),abnormal aortic arch morphology (XPO),MP,XPO
http://purl.obolibrary.org/obo/XPO_0101749,http://purl.obolibrary.org/obo/MP_0004113,lexical,abnormal aortic arch morphology (XPO),abnormal aortic arch morphology (MPO),XPO,MP
http://purl.obolibrary.org/obo/HP_0012303,http://purl.obolibrary.org/obo/ZP_0001151,lexical,Abnormal aortic arch morphology (HPO),"aortic arch morphology, abnormal (ZPO)",HP,ZP
http://purl.obolibrary.org/obo/ZP_0001151,http://purl.obolibrary.org/obo/HP_0012303,lexical,"aortic arch morphology, abnormal (ZPO)",Abnormal aortic arch morphology (HPO),ZP,HP
http://purl.obolibrary.org/obo/MP_0000272,http://purl.obolibrary.org/obo/XPO_0101712,lexical,abnormal aorta morphology (MPO),abnormal aorta morphology (XPO),MP,XPO
http://purl.obolibrary.org/obo/XPO_0101712,http://purl.obolibrary.org/obo/MP_0000272,lexical,abnormal aorta morphology (XPO),abnormal aorta morphology (MPO),XPO,MP
http://purl.obolibrary.org/obo/MP_0010595,http://purl.obolibrary.org/obo/HP_0031567,lexical,abnormal aortic valve cusp morphology (MPO),Abnormal aortic valve cusp morphology (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0031567,http://purl.obolibrary.org/obo/MP_0010595,lexical,Abnormal aortic valve cusp morphology (HPO),abnormal aortic valve cusp morphology (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0002747,http://purl.obolibrary.org/obo/HP_0001646,lexical,abnormal aortic valve morphology (MPO),Abnormal aortic valve morphology (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0001646,http://purl.obolibrary.org/obo/MP_0002747,lexical,Abnormal aortic valve morphology (HPO),abnormal aortic valve morphology (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0010331,http://purl.obolibrary.org/obo/HP_0025201,lexical,abnormal apolipoprotein level (MPO),Abnormal apolipoprotein level (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0025201,http://purl.obolibrary.org/obo/MP_0010331,lexical,Abnormal apolipoprotein level (HPO),abnormal apolipoprotein level (MPO),HP,MP
http://purl.obolibrary.org/obo/XPO_0101982,http://purl.obolibrary.org/obo/HP_0011844,lexical,abnormal appendicular skeleton morphology (XPO),Abnormal appendicular skeleton morphology (HPO),XPO,HP
http://purl.obolibrary.org/obo/HP_0011844,http://purl.obolibrary.org/obo/XPO_0101982,lexical,Abnormal appendicular skeleton morphology (HPO),abnormal appendicular skeleton morphology (XPO),HP,XPO
http://purl.obolibrary.org/obo/HP_0031784,http://purl.obolibrary.org/obo/MP_0009867,lexical,Abnormal ascending aorta morphology (HPO),abnormal ascending aorta morphology (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0009867,http://purl.obolibrary.org/obo/HP_0031784,lexical,abnormal ascending aorta morphology (MPO),Abnormal ascending aorta morphology (HPO),MP,HP
http://purl.obolibrary.org/obo/XPO_0103124,http://purl.obolibrary.org/obo/HP_0011994,lexical,abnormal atrial septum morphology (XPO),Abnormal atrial septum morphology (HPO),XPO,HP
http://purl.obolibrary.org/obo/HP_0011994,http://purl.obolibrary.org/obo/XPO_0103124,lexical,Abnormal atrial septum morphology (HPO),abnormal atrial septum morphology (XPO),HP,XPO
http://purl.obolibrary.org/obo/XPO_0141283,http://purl.obolibrary.org/obo/HP_0006705,lexical,abnormal atrioventricular valve morphology (XPO),Abnormal atrioventricular valve morphology (HPO),XPO,HP
http://purl.obolibrary.org/obo/HP_0006705,http://purl.obolibrary.org/obo/XPO_0141283,lexical,Abnormal atrioventricular valve morphology (HPO),abnormal atrioventricular valve morphology (XPO),HP,XPO
http://purl.obolibrary.org/obo/MP_0002745,http://purl.obolibrary.org/obo/ZP_0001722,lexical,abnormal atrioventricular valve morphology (MPO),"atrioventricular valve morphology, abnormal (ZPO)",MP,ZP
http://purl.obolibrary.org/obo/ZP_0001722,http://purl.obolibrary.org/obo/MP_0002745,lexical,"atrioventricular valve morphology, abnormal (ZPO)",abnormal atrioventricular valve morphology (MPO),ZP,MP
http://purl.obolibrary.org/obo/MP_0002751,http://purl.obolibrary.org/obo/HP_0012331,lexical,abnormal autonomic nervous system morphology (MPO),Abnormal autonomic nervous system morphology (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0012331,http://purl.obolibrary.org/obo/MP_0002751,lexical,Abnormal autonomic nervous system morphology (HPO),abnormal autonomic nervous system morphology (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0006276,http://purl.obolibrary.org/obo/HP_0012332,lexical,abnormal autonomic nervous system physiology (MPO),Abnormal autonomic nervous system physiology (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0012332,http://purl.obolibrary.org/obo/MP_0006276,lexical,Abnormal autonomic nervous system physiology (HPO),abnormal autonomic nervous system physiology (MPO),HP,MP
http://purl.obolibrary.org/obo/XPO_0101957,http://purl.obolibrary.org/obo/MP_0002114,lexical,abnormal axial skeleton morphology (XPO),abnormal axial skeleton morphology (MPO),XPO,MP
http://purl.obolibrary.org/obo/MP_0002114,http://purl.obolibrary.org/obo/XPO_0101957,lexical,abnormal axial skeleton morphology (MPO),abnormal axial skeleton morphology (XPO),MP,XPO
http://purl.obolibrary.org/obo/HP_0001912,http://purl.obolibrary.org/obo/MP_0002422,lexical,Abnormal basophil morphology (HPO),abnormal basophil morphology (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0002422,http://purl.obolibrary.org/obo/HP_0001912,lexical,abnormal basophil morphology (MPO),Abnormal basophil morphology (HPO),MP,HP
http://purl.obolibrary.org/obo/MP_0005083,http://purl.obolibrary.org/obo/HP_0012440,lexical,abnormal biliary tract morphology (MPO),Abnormal biliary tract morphology (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0012440,http://purl.obolibrary.org/obo/MP_0005083,lexical,Abnormal biliary tract morphology (HPO),abnormal biliary tract morphology (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0001208,http://purl.obolibrary.org/obo/HP_0008066,lexical,blistering (MPO),Abnormal blistering of the skin (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0008066,http://purl.obolibrary.org/obo/MP_0001208,lexical,Abnormal blistering of the skin (HPO),blistering (MPO),HP,MP
http://purl.obolibrary.org/obo/HP_0012415,http://purl.obolibrary.org/obo/MP_0002329,lexical,Abnormal blood gas level (HPO),abnormal blood gas level (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0002329,http://purl.obolibrary.org/obo/HP_0012415,lexical,abnormal blood gas level (MPO),Abnormal blood gas level (HPO),MP,HP
http://purl.obolibrary.org/obo/MP_0011642,http://purl.obolibrary.org/obo/HP_0011862,lexical,abnormal bone collagen fibril morphology (MPO),Abnormal bone collagen fibril morphology (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0011862,http://purl.obolibrary.org/obo/MP_0011642,lexical,Abnormal bone collagen fibril morphology (HPO),abnormal bone collagen fibril morphology (MPO),HP,MP
http://purl.obolibrary.org/obo/HP_0011849,http://purl.obolibrary.org/obo/MP_0008271,lexical,Abnormal bone ossification (HPO),abnormal bone ossification (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0008271,http://purl.obolibrary.org/obo/HP_0011849,lexical,abnormal bone ossification (MPO),Abnormal bone ossification (HPO),MP,HP
http://purl.obolibrary.org/obo/MP_0003795,http://purl.obolibrary.org/obo/HP_0003330,lexical,abnormal bone structure (MPO),Abnormal bone structure (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0003330,http://purl.obolibrary.org/obo/MP_0003795,lexical,Abnormal bone structure (HPO),abnormal bone structure (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0001881,http://purl.obolibrary.org/obo/HP_0031094,lexical,abnormal mammary gland physiology (MPO),Abnormal breast physiology (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0031094,http://purl.obolibrary.org/obo/MP_0001881,lexical,Abnormal breast physiology (HPO),abnormal mammary gland physiology (MPO),HP,MP
http://purl.obolibrary.org/obo/HP_0025426,http://purl.obolibrary.org/obo/XPO_0102528,lexical,Abnormal bronchus morphology (HPO),abnormal bronchus morphology (XPO),HP,XPO
http://purl.obolibrary.org/obo/XPO_0102528,http://purl.obolibrary.org/obo/HP_0025426,lexical,abnormal bronchus morphology (XPO),Abnormal bronchus morphology (HPO),XPO,HP
http://purl.obolibrary.org/obo/HP_0032580,http://purl.obolibrary.org/obo/MP_0010568,lexical,Abnormal bulbus cordis morphology (HPO),abnormal bulbus cordis morphology (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0010568,http://purl.obolibrary.org/obo/HP_0032580,lexical,abnormal bulbus cordis morphology (MPO),Abnormal bulbus cordis morphology (HPO),MP,HP
http://purl.obolibrary.org/obo/XPO_0102424,http://purl.obolibrary.org/obo/HP_0025016,lexical,abnormal capillary morphology (XPO),Abnormal capillary morphology (HPO),XPO,HP
http://purl.obolibrary.org/obo/HP_0025016,http://purl.obolibrary.org/obo/XPO_0102424,lexical,Abnormal capillary morphology (HPO),abnormal capillary morphology (XPO),HP,XPO
http://purl.obolibrary.org/obo/XPO_0107343,http://purl.obolibrary.org/obo/HP_0005120,lexical,abnormal cardiac atrium morphology (XPO),Abnormal cardiac atrium morphology (HPO),XPO,HP
http://purl.obolibrary.org/obo/HP_0005120,http://purl.obolibrary.org/obo/XPO_0107343,lexical,Abnormal cardiac atrium morphology (HPO),abnormal cardiac atrium morphology (XPO),HP,XPO
http://purl.obolibrary.org/obo/ZP_0005415,http://purl.obolibrary.org/obo/XPO_0100736,lexical,"cardiac ventricle morphology, abnormal (ZPO)",abnormal cardiac ventricle (XPO),ZP,XPO
http://purl.obolibrary.org/obo/XPO_0100736,http://purl.obolibrary.org/obo/ZP_0005415,lexical,abnormal cardiac ventricle (XPO),"cardiac ventricle morphology, abnormal (ZPO)",XPO,ZP
http://purl.obolibrary.org/obo/HP_0001713,http://purl.obolibrary.org/obo/XPO_0102368,lexical,Abnormal cardiac ventricle morphology (HPO),abnormal cardiac ventricle morphology (XPO),HP,XPO
http://purl.obolibrary.org/obo/XPO_0102368,http://purl.obolibrary.org/obo/HP_0001713,lexical,abnormal cardiac ventricle morphology (XPO),Abnormal cardiac ventricle morphology (HPO),XPO,HP
http://purl.obolibrary.org/obo/MP_0000278,http://purl.obolibrary.org/obo/ZP_0013833,lexical,abnormal myocardial fiber morphology (MPO),"cardiac muscle cell morphology, abnormal (ZPO)",MP,ZP
http://purl.obolibrary.org/obo/ZP_0013833,http://purl.obolibrary.org/obo/MP_0000278,lexical,"cardiac muscle cell morphology, abnormal (ZPO)",abnormal myocardial fiber morphology (MPO),ZP,MP
http://purl.obolibrary.org/obo/HP_0011025,http://purl.obolibrary.org/obo/MP_0001544,lexical,Abnormal cardiovascular system physiology (HPO),abnormal cardiovascular system physiology (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0001544,http://purl.obolibrary.org/obo/HP_0011025,lexical,abnormal cardiovascular system physiology (MPO),Abnormal cardiovascular system physiology (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0005344,http://purl.obolibrary.org/obo/MP_0004181,lexical,Abnormal carotid artery morphology (HPO),abnormal carotid artery morphology (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0004181,http://purl.obolibrary.org/obo/HP_0005344,lexical,abnormal carotid artery morphology (MPO),Abnormal carotid artery morphology (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0002763,http://purl.obolibrary.org/obo/MP_0000163,lexical,Abnormal cartilage morphology (HPO),abnormal cartilage morphology (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0000163,http://purl.obolibrary.org/obo/HP_0002763,lexical,abnormal cartilage morphology (MPO),Abnormal cartilage morphology (HPO),MP,HP
http://purl.obolibrary.org/obo/MP_0004078,http://purl.obolibrary.org/obo/HP_0002339,lexical,abnormal caudate nucleus morphology (MPO),Abnormal caudate nucleus morphology (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0002339,http://purl.obolibrary.org/obo/MP_0004078,lexical,Abnormal caudate nucleus morphology (HPO),abnormal caudate nucleus morphology (MPO),HP,MP
http://purl.obolibrary.org/obo/HP_0012326,http://purl.obolibrary.org/obo/MP_0013854,lexical,Abnormal celiac artery morphology (HPO),abnormal celiac artery morphology (MPO),HP,MP
http://purl.obolibrary.org/obo/MP_0013854,http://purl.obolibrary.org/obo/HP_0012326,lexical,abnormal celiac artery morphology (MPO),Abnormal celiac artery morphology (HPO),MP,HP
http://purl.obolibrary.org/obo/FYPO_0000005,http://purl.obolibrary.org/obo/XPO_0101636,lexical,abnormal cell morphology (FYPO),abnormal cell morphology (XPO),FYPO,XPO
http://purl.obolibrary.org/obo/XPO_0101636,http://purl.obolibrary.org/obo/FYPO_0000005,lexical,abnormal cell morphology (XPO),abnormal cell morphology (FYPO),XPO,FYPO
http://purl.obolibrary.org/obo/MP_0000358,http://purl.obolibrary.org/obo/HP_0025461,lexical,abnormal cell morphology (MPO),Abnormal cell morphology (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0025461,http://purl.obolibrary.org/obo/MP_0000358,lexical,Abnormal cell morphology (HPO),abnormal cell morphology (MPO),HP,MP
http://purl.obolibrary.org/obo/DDPHENO_0000236,http://purl.obolibrary.org/obo/WBPhenotype_0000533,lexical,aberrant cell morphology (DDPHENO),cell morphology variant (WBP),DDPHENO,WBPhenotype
http://purl.obolibrary.org/obo/WBPhenotype_0000533,http://purl.obolibrary.org/obo/DDPHENO_0000236,lexical,cell morphology variant (WBP),aberrant cell morphology (DDPHENO),WBPhenotype,DDPHENO
http://purl.obolibrary.org/obo/MP_0000350,http://purl.obolibrary.org/obo/DDPHENO_0001084,lexical,abnormal cell proliferation (MPO),aberrant vegetative growth (DDPHENO),MP,DDPHENO
http://purl.obolibrary.org/obo/DDPHENO_0001084,http://purl.obolibrary.org/obo/MP_0000350,lexical,aberrant vegetative growth (DDPHENO),abnormal cell proliferation (MPO),DDPHENO,MP
http://purl.obolibrary.org/obo/WBPhenotype_0000171,http://purl.obolibrary.org/obo/HP_0031377,lexical,cell proliferation variant (WBP),Abnormal cell proliferation (HPO),WBPhenotype,HP
http://purl.obolibrary.org/obo/HP_0031377,http://purl.obolibrary.org/obo/WBPhenotype_0000171,lexical,Abnormal cell proliferation (HPO),cell proliferation variant (WBP),HP,WBPhenotype
http://purl.obolibrary.org/obo/XPO_0102148,http://purl.obolibrary.org/obo/HP_0001317,lexical,abnormal cerebellum morphology (XPO),Abnormal cerebellum morphology (HPO),XPO,HP
http://purl.obolibrary.org/obo/HP_0001317,http://purl.obolibrary.org/obo/XPO_0102148,lexical,Abnormal cerebellum morphology (HPO),abnormal cerebellum morphology (XPO),HP,XPO
http://purl.obolibrary.org/obo/ZP_0002764,http://purl.obolibrary.org/obo/MP_0000849,lexical,"cerebellum morphology, abnormal (ZPO)",abnormal cerebellum morphology (MPO),ZP,MP
http://purl.obolibrary.org/obo/MP_0000849,http://purl.obolibrary.org/obo/ZP_0002764,lexical,abnormal cerebellum morphology (MPO),"cerebellum morphology, abnormal (ZPO)",MP,ZP
http://purl.obolibrary.org/obo/MP_0013821,http://purl.obolibrary.org/obo/HP_0009145,lexical,abnormal cerebral artery morphology (MPO),Abnormal cerebral artery morphology (HPO),MP,HP
http://purl.obolibrary.org/obo/HP_0009145,http://purl.obolibrary.org/obo/MP_0013821,lexical,Abnormal cerebral artery morphology (HPO),abnormal cerebral artery morphology (MPO),HP,MP
http://purl.obolibrary.org/obo/XPO_0102225,http://purl.obolibrary.org/obo/XPO_0100593,lexical,abnormal cerebral artery morphology (XPO),abnormal cerebral artery (XPO),XPO,XPO
http://purl.obolibrary.org/obo/XPO_0100593,http://purl.obolibrary.org/obo/XPO_0102225,lexical,abnormal cerebral artery (XPO),abnormal cerebral artery morphology (XPO),XPO,XPO
http://purl.obolibrary.org/obo/XPO_0101682,http://purl.obolibrary.org/obo/ZP_0002381,lexical,abnormal chondrocyte morphology (XPO),"chondrocyte morphology, abnormal (ZPO)",XPO,ZP
