p1,p1l,p2,p2l
http://purl.obolibrary.org/obo/MP_0001944,abnormal pancreas morphology (MPO),http://purl.obolibrary.org/obo/HP_0012090,Abnormal pancreas morphology (HPO)
http://purl.obolibrary.org/obo/MP_0003352,increased circulating renin level (MPO),http://purl.obolibrary.org/obo/HP_0000848,Increased circulating renin level (HPO)
http://purl.obolibrary.org/obo/ZP_0010496,"cell division decreased rate, abnormal (ZPO)",http://purl.obolibrary.org/obo/WBPhenotype_0000363,cell division slow (WBP)
http://purl.obolibrary.org/obo/HP_0003537,Hypouricemia (HPO),http://purl.obolibrary.org/obo/MP_0008822,decreased blood uric acid level (MPO)
http://purl.obolibrary.org/obo/FBcv_0000412,optomotor response defective (DPO),http://purl.obolibrary.org/obo/ZP_0008042,"optokinetic behavior process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0002558,Supernumerary nipple (HPO),http://purl.obolibrary.org/obo/MP_0009723,increased nipple number (MPO)
http://purl.obolibrary.org/obo/WBPhenotype_0001399,cell membrane morphology variant (WBP),http://purl.obolibrary.org/obo/MP_0003950,abnormal plasma membrane morphology (MPO)
http://purl.obolibrary.org/obo/WBPhenotype_0000728,exocytosis variant (WBP),http://purl.obolibrary.org/obo/FBcv_0001325,exocytosis defective (DPO)
http://purl.obolibrary.org/obo/ZP_0016569,"cell division absent, abnormal (ZPO)",http://purl.obolibrary.org/obo/WBPhenotype_0000417,cell division failure (WBP)
http://purl.obolibrary.org/obo/ZP_0010561,"visual perception process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/HP_0000504,Abnormality of vision (HPO)
http://purl.obolibrary.org/obo/MP_0010521,absent pulmonary artery (MPO),http://purl.obolibrary.org/obo/HP_0004960,Absent pulmonary artery (HPO)
http://purl.obolibrary.org/obo/HP_3000052,Abnormality of hyoid bone (HPO),http://purl.obolibrary.org/obo/MP_0003056,abnormal hyoid bone morphology (MPO)
http://purl.obolibrary.org/obo/MP_0011462,increased urine bicarbonate level (MPO),http://purl.obolibrary.org/obo/HP_0003646,Bicarbonaturia (HPO)
http://purl.obolibrary.org/obo/HP_0000002,Abnormality of body height (HPO),http://purl.obolibrary.org/obo/MP_0001253,abnormal body height (MPO)
http://purl.obolibrary.org/obo/MP_0005668,decreased circulating leptin level (MPO),http://purl.obolibrary.org/obo/HP_0003292,Decreased serum leptin (HPO)
http://purl.obolibrary.org/obo/ZP_0015013,"ovary increased amount, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0021836,"ovary female organism increased amount, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0031888,Abnormal HDL cholesterol concentration (HPO),http://purl.obolibrary.org/obo/MP_0000184,abnormal circulating HDL cholesterol level (MPO)
http://purl.obolibrary.org/obo/MP_0005419,decreased circulating serum albumin level (MPO),http://purl.obolibrary.org/obo/HP_0003073,Hypoalbuminemia (HPO)
http://purl.obolibrary.org/obo/WBPhenotype_0001028,nuclear appearance variant (WBP),http://purl.obolibrary.org/obo/FYPO_0002256,abnormal nuclear morphology (FYPO)
http://purl.obolibrary.org/obo/HP_0100774,Hyperostosis (HPO),http://purl.obolibrary.org/obo/MP_0030222,hyperostosis (MPO)
http://purl.obolibrary.org/obo/MP_0005180,abnormal circulating testosterone level (MPO),http://purl.obolibrary.org/obo/HP_0030087,Abnormal serum testosterone level (HPO)
http://purl.obolibrary.org/obo/WBPhenotype_0000172,cell proliferation increased (WBP),http://purl.obolibrary.org/obo/ZP_0000676,"cell population proliferation increased rate, abnormal (ZPO)"
http://purl.obolibrary.org/obo/XPO_0131699,abnormal axon extension involved in axon guidance (XPO),http://purl.obolibrary.org/obo/ZP_0004278,"axon extension involved in axon guidance process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0030042,large forehead (MPO),http://purl.obolibrary.org/obo/HP_0002003,Large forehead (HPO)
http://purl.obolibrary.org/obo/ZP_0005420,"growth delayed, abnormal (ZPO)",http://purl.obolibrary.org/obo/HP_0001510,Growth delay (HPO)
http://purl.obolibrary.org/obo/HP_0003351,Decreased circulating renin level (HPO),http://purl.obolibrary.org/obo/MP_0003353,decreased circulating renin level (MPO)
http://purl.obolibrary.org/obo/MP_0011436,decreased urine magnesium level (MPO),http://purl.obolibrary.org/obo/HP_0012609,Hypomagnesiuria (HPO)
http://purl.obolibrary.org/obo/ZP_0012309,"intersegmental vessel trunk morphology, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0131071,"intersegmental vessel post-vent vasculature morphology, abnormal (ZPO)"
http://purl.obolibrary.org/obo/FYPO_0000059,abnormal mitotic cell cycle (FYPO),http://purl.obolibrary.org/obo/MP_0004046,abnormal mitosis (MPO)
http://purl.obolibrary.org/obo/MP_0001409,increased stereotypic behavior (MPO),http://purl.obolibrary.org/obo/HP_0000733,Stereotypy (HPO)
http://purl.obolibrary.org/obo/MP_0004970,kidney atrophy (MPO),http://purl.obolibrary.org/obo/HP_0012585,Renal atrophy (HPO)
http://purl.obolibrary.org/obo/HP_0030087,Abnormal serum testosterone level (HPO),http://purl.obolibrary.org/obo/MP_0005180,abnormal circulating testosterone level (MPO)
http://purl.obolibrary.org/obo/HP_0000037,Male pseudohermaphroditism (HPO),http://purl.obolibrary.org/obo/MP_0002789,male pseudohermaphroditism (MPO)
http://purl.obolibrary.org/obo/ZP_0002859,"melanocyte colorless, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0009114,"melanocyte integument colorless, abnormal (ZPO)"
http://purl.obolibrary.org/obo/ZP_0016365,"swimming behavior increased occurrence, abnormal (ZPO)",http://purl.obolibrary.org/obo/XPO_0141268,increased swimming behavior (XPO)
http://purl.obolibrary.org/obo/MP_0001823,thymus hypoplasia (MPO),http://purl.obolibrary.org/obo/HP_0000778,Hypoplasia of the thymus (HPO)
http://purl.obolibrary.org/obo/ZP_0014737,"fin fold actinotrichium absent, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0014297,"actinotrichium median fin fold absent, abnormal (ZPO)"
http://purl.obolibrary.org/obo/ZP_0001563,"axon guidance process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/WBPhenotype_0000384,axon guidance variant (WBP)
http://purl.obolibrary.org/obo/ZP_0000688,"cardiac muscle cell decreased amount, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0000362,"cardiac muscle cell heart decreased amount, abnormal (ZPO)"
http://purl.obolibrary.org/obo/ZP_0013717,"iridophore eye amount, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0101332,"iridophore amount, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0002913,Myoglobinuria (HPO),http://purl.obolibrary.org/obo/MP_0006034,myoglobinuria (MPO)
http://purl.obolibrary.org/obo/MP_0006078,abnormal nipple morphology (MPO),http://purl.obolibrary.org/obo/HP_0004404,Abnormal nipple morphology (HPO)
http://purl.obolibrary.org/obo/WBPhenotype_0001918,chemical hypersensitive (WBP),http://purl.obolibrary.org/obo/FBcv_0000440,chemical sensitive (DPO)
http://purl.obolibrary.org/obo/FBcv_0000682,touch perception defective (DPO),http://purl.obolibrary.org/obo/ZP_0004374,"sensory perception of touch process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0011842,Abnormality of skeletal morphology (HPO),http://purl.obolibrary.org/obo/MP_0005508,abnormal skeleton morphology (MPO)
http://purl.obolibrary.org/obo/HP_0003345,Elevated urinary norepinephrine (HPO),http://purl.obolibrary.org/obo/MP_0030772,increased urine noradrenaline level (MPO)
http://purl.obolibrary.org/obo/ZP_0006859,"developmental growth process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/WBPhenotype_0001015,developmental growth variant (WBP)
http://purl.obolibrary.org/obo/MP_0001300,ocular hypertelorism (MPO),http://purl.obolibrary.org/obo/HP_0000316,Hypertelorism (HPO)
http://purl.obolibrary.org/obo/HP_0000080,Abnormality of reproductive system physiology (HPO),http://purl.obolibrary.org/obo/MP_0001919,abnormal reproductive system physiology (MPO)
http://purl.obolibrary.org/obo/HP_0010297,Bifid tongue (HPO),http://purl.obolibrary.org/obo/MP_0009909,bifid tongue (MPO)
http://purl.obolibrary.org/obo/PHIPO_0000718,sensitive to polymyxin B1 (PHIPO),http://purl.obolibrary.org/obo/PHIPO_0000857,sensitive to polymyxin B (PHIPO)
http://purl.obolibrary.org/obo/MP_0005179,decreased circulating cholesterol level (MPO),http://purl.obolibrary.org/obo/HP_0003146,Hypocholesterolemia (HPO)
http://purl.obolibrary.org/obo/HP_0011377,Aplasia of the vestibule (HPO),http://purl.obolibrary.org/obo/MP_0004314,absent inner ear vestibule (MPO)
http://purl.obolibrary.org/obo/MP_0005508,abnormal skeleton morphology (MPO),http://purl.obolibrary.org/obo/HP_0011842,Abnormality of skeletal morphology (HPO)
http://purl.obolibrary.org/obo/HP_0000586,Shallow orbits (HPO),http://purl.obolibrary.org/obo/MP_0006213,shallow orbits (MPO)
http://purl.obolibrary.org/obo/HP_0004348,Abnormality of bone mineral density (HPO),http://purl.obolibrary.org/obo/MP_0010119,abnormal bone mineral density (MPO)
http://purl.obolibrary.org/obo/FYPO_0003063,abnormal cytoskeleton morphology (FYPO),http://purl.obolibrary.org/obo/MP_0020378,abnormal cell cytoskeleton morphology (MPO)
http://purl.obolibrary.org/obo/MP_0001732,postnatal growth retardation (MPO),http://purl.obolibrary.org/obo/ZP_0004262,"growth decreased rate, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0001629,Ventricular septal defect (HPO),http://purl.obolibrary.org/obo/MP_0010402,ventricular septal defect (MPO)
http://purl.obolibrary.org/obo/HP_0000782,Abnormality of the scapula (HPO),http://purl.obolibrary.org/obo/MP_0000149,abnormal scapula morphology (MPO)
http://purl.obolibrary.org/obo/XPO_0125915,absent optic field (XPO),http://purl.obolibrary.org/obo/XPO_0125082,absent eye primordium (XPO)
http://purl.obolibrary.org/obo/HP_0011372,Aplasia of the inner ear (HPO),http://purl.obolibrary.org/obo/MP_0006285,absent inner ear (MPO)
http://purl.obolibrary.org/obo/XPO_0102944,abnormal trigeminal ganglion morphology (XPO),http://purl.obolibrary.org/obo/XPO_0102866,abnormal gasserian ganglion morphology (XPO)
http://purl.obolibrary.org/obo/XPO_0127569,abnormally localised optic field (XPO),http://purl.obolibrary.org/obo/XPO_0126703,abnormally localised eye primordium (XPO)
http://purl.obolibrary.org/obo/HP_0002155,Hypertriglyceridemia (HPO),http://purl.obolibrary.org/obo/MP_0001552,increased circulating triglyceride level (MPO)
http://purl.obolibrary.org/obo/ZP_0012600,"learning process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/FBcv_0000397,learning defective (DPO)
http://purl.obolibrary.org/obo/MP_0004634,short metacarpal bones (MPO),http://purl.obolibrary.org/obo/HP_0010049,Short metacarpal (HPO)
http://purl.obolibrary.org/obo/HP_0010978,Abnormality of immune system physiology (HPO),http://purl.obolibrary.org/obo/MP_0001790,abnormal immune system physiology (MPO)
http://purl.obolibrary.org/obo/MP_0009819,abnormal circulating androgen level (MPO),http://purl.obolibrary.org/obo/HP_0030347,Abnormal circulating androgen level (HPO)
http://purl.obolibrary.org/obo/HP_0012607,Abnormal urine magnesium concentration (HPO),http://purl.obolibrary.org/obo/MP_0011434,abnormal urine magnesium level (MPO)
http://purl.obolibrary.org/obo/MP_0010353,increased odontoma incidence (MPO),http://purl.obolibrary.org/obo/HP_0011068,Odontoma (HPO)
http://purl.obolibrary.org/obo/HP_0011991,Abnormal neutrophil count (HPO),http://purl.obolibrary.org/obo/MP_0012440,abnormal neutrophil cell number (MPO)
http://purl.obolibrary.org/obo/MP_0030069,broad face (MPO),http://purl.obolibrary.org/obo/HP_0000283,Broad face (HPO)
http://purl.obolibrary.org/obo/ZP_0020346,"social behavior process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/XPO_0131406,abnormal social behavior (XPO)
http://purl.obolibrary.org/obo/HP_0012585,Renal atrophy (HPO),http://purl.obolibrary.org/obo/MP_0004970,kidney atrophy (MPO)
http://purl.obolibrary.org/obo/MP_0005331,insulin resistance (MPO),http://purl.obolibrary.org/obo/HP_0000855,Insulin resistance (HPO)
http://purl.obolibrary.org/obo/ZP_0009023,"aging premature, abnormal (ZPO)",http://purl.obolibrary.org/obo/MP_0003786,premature aging (MPO)
http://purl.obolibrary.org/obo/MP_0006044,tricuspid valve regurgitation (MPO),http://purl.obolibrary.org/obo/HP_0005180,Tricuspid regurgitation (HPO)
http://purl.obolibrary.org/obo/MP_0001732,postnatal growth retardation (MPO),http://purl.obolibrary.org/obo/WBPhenotype_0000031,slow growth (WBP)
http://purl.obolibrary.org/obo/FBcv_0006005,increased occurrence of cell division (DPO),http://purl.obolibrary.org/obo/ZP_0002234,"cell division increased occurrence, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0030608,decreased tooth number (MPO),http://purl.obolibrary.org/obo/HP_0009804,Reduced number of teeth (HPO)
http://purl.obolibrary.org/obo/HP_0003108,Hyperglycinuria (HPO),http://purl.obolibrary.org/obo/MP_0030616,hyperglycinuria (MPO)
http://purl.obolibrary.org/obo/XPO_0100167,abnormal nerve (XPO),http://purl.obolibrary.org/obo/XPO_0101204,abnormal peripheral nerve (XPO)
http://purl.obolibrary.org/obo/HP_0005343,Hypoplasia of the bladder (HPO),http://purl.obolibrary.org/obo/MP_0003617,urinary bladder hypoplasia (MPO)
http://purl.obolibrary.org/obo/HP_0011877,Increased mean platelet volume (HPO),http://purl.obolibrary.org/obo/MP_0002599,increased mean platelet volume (MPO)
http://purl.obolibrary.org/obo/ZP_0006480,"retinal ganglion cell retina decreased amount, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0015879,"retinal ganglion cell eye decreased amount, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0005156,bradykinesia (MPO),http://purl.obolibrary.org/obo/ZP_0007922,"musculoskeletal movement decreased rate, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0500182,Hypotaurinemia (HPO),http://purl.obolibrary.org/obo/MP_0030639,decreased circulating taurine level (MPO)
http://purl.obolibrary.org/obo/HP_0010906,Hyperhistidinemia (HPO),http://purl.obolibrary.org/obo/MP_0011652,increased circulating histidine level (MPO)
http://purl.obolibrary.org/obo/WBPhenotype_0001401,mitochondria morphology variant (WBP),http://purl.obolibrary.org/obo/HP_0008322,Abnormal mitochondrial morphology (HPO)
http://purl.obolibrary.org/obo/MP_0005261,aniridia (MPO),http://purl.obolibrary.org/obo/HP_0000526,Aniridia (HPO)
http://purl.obolibrary.org/obo/MP_0003111,abnormal cell nucleus morphology (MPO),http://purl.obolibrary.org/obo/FYPO_0002256,abnormal nuclear morphology (FYPO)
http://purl.obolibrary.org/obo/MP_0000049,abnormal middle ear morphology (MPO),http://purl.obolibrary.org/obo/HP_0008609,Morphological abnormality of the middle ear (HPO)
http://purl.obolibrary.org/obo/ZP_0000676,"cell population proliferation increased rate, abnormal (ZPO)",http://purl.obolibrary.org/obo/XPO_0103642,increased cell population proliferation (XPO)
http://purl.obolibrary.org/obo/MP_0005574,decreased pulmonary respiratory rate (MPO),http://purl.obolibrary.org/obo/ZP_0021901,"respiratory gaseous exchange by respiratory system decreased frequency, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0000505,Visual impairment (HPO),http://purl.obolibrary.org/obo/ZP_0001865,"visual perception decreased process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/FBcv_0000387,behavior defective (DPO),http://purl.obolibrary.org/obo/WBPhenotype_0000517,behavior phenotype (WBP)
http://purl.obolibrary.org/obo/WBPhenotype_0001620,organism oxidative stress response variant (WBP),http://purl.obolibrary.org/obo/ZP_0016446,"response to oxidative stress process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/ZP_0021010,"melanocyte whole organism absent, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0016792,"melanocyte eye absent, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0005150,cachexia (MPO),http://purl.obolibrary.org/obo/HP_0004326,Cachexia (HPO)
http://purl.obolibrary.org/obo/MP_0003633,abnormal nervous system physiology (MPO),http://purl.obolibrary.org/obo/HP_0012638,Abnormal nervous system physiology (HPO)
http://purl.obolibrary.org/obo/WBPhenotype_0000507,acetylcholine levels variant (WBP),http://purl.obolibrary.org/obo/MP_0030675,abnormal acetylcholine level (MPO)
http://purl.obolibrary.org/obo/ZP_0001406,"somite decreased size, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0010350,"somite trunk decreased size, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0003786,premature aging (MPO),http://purl.obolibrary.org/obo/ZP_0009023,"aging premature, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0001317,abnormal pupil morphology (MPO),http://purl.obolibrary.org/obo/HP_0000615,Abnormal pupil morphology (HPO)
http://purl.obolibrary.org/obo/HP_0002023,Anal atresia (HPO),http://purl.obolibrary.org/obo/MP_0003130,anal atresia (MPO)
http://purl.obolibrary.org/obo/MP_0004639,fused metacarpal bones (MPO),http://purl.obolibrary.org/obo/HP_0009701,Metacarpal synostosis (HPO)
http://purl.obolibrary.org/obo/HP_0005345,Abnormal vena cava morphology (HPO),http://purl.obolibrary.org/obo/MP_0006062,abnormal vena cava morphology (MPO)
http://purl.obolibrary.org/obo/HP_0007957,Corneal opacity (HPO),http://purl.obolibrary.org/obo/MP_0001314,corneal opacity (MPO)
http://purl.obolibrary.org/obo/ZP_0008199,"spermatogenesis arrested, abnormal (ZPO)",http://purl.obolibrary.org/obo/MP_0001155,arrest of spermatogenesis (MPO)
http://purl.obolibrary.org/obo/XPO_0136659,decreased apoptosis in trunk region (XPO),http://purl.obolibrary.org/obo/XPO_0137045,decreased apoptosis in trunk (XPO)
http://purl.obolibrary.org/obo/HP_0500163,Hypoornithinemia (HPO),http://purl.obolibrary.org/obo/MP_0030651,decreased circulating ornithine level (MPO)
http://purl.obolibrary.org/obo/HP_0005214,Intestinal obstruction (HPO),http://purl.obolibrary.org/obo/MP_0003270,intestinal obstruction (MPO)
http://purl.obolibrary.org/obo/MP_0003794,delayed somite formation (MPO),http://purl.obolibrary.org/obo/ZP_0022715,"somite development delayed, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0030068,large face (MPO),http://purl.obolibrary.org/obo/HP_0100729,Large face (HPO)
http://purl.obolibrary.org/obo/MP_0001552,increased circulating triglyceride level (MPO),http://purl.obolibrary.org/obo/HP_0002155,Hypertriglyceridemia (HPO)
http://purl.obolibrary.org/obo/MP_0004373,bowed humerus (MPO),http://purl.obolibrary.org/obo/HP_0003865,Bowed humerus (HPO)
http://purl.obolibrary.org/obo/MP_0000161,scoliosis (MPO),http://purl.obolibrary.org/obo/HP_0002650,Scoliosis (HPO)
http://purl.obolibrary.org/obo/ZP_0013230,"larval development process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/WBPhenotype_0000750,larval development variant (WBP)
http://purl.obolibrary.org/obo/MP_0003292,melena (MPO),http://purl.obolibrary.org/obo/HP_0002249,Melena (HPO)
http://purl.obolibrary.org/obo/MP_0003074,absent metacarpal bones (MPO),http://purl.obolibrary.org/obo/HP_0010048,Aplasia of metacarpal bones (HPO)
http://purl.obolibrary.org/obo/MP_0001314,corneal opacity (MPO),http://purl.obolibrary.org/obo/HP_0007957,Corneal opacity (HPO)
http://purl.obolibrary.org/obo/ZP_0013362,"neural crest cell whole organism normal amount, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0013178,"neural crest cell normal amount, abnormal (ZPO)"
http://purl.obolibrary.org/obo/WBPhenotype_0000523,chemical response variant (WBP),http://purl.obolibrary.org/obo/ZP_0015844,"response to chemical process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0000107,Renal cyst (HPO),http://purl.obolibrary.org/obo/MP_0003675,kidney cysts (MPO)
http://purl.obolibrary.org/obo/XPO_0131737,abnormal type B pancreatic cell differentiation (XPO),http://purl.obolibrary.org/obo/ZP_0015799,"type B pancreatic cell differentiation process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0000322,Short philtrum (HPO),http://purl.obolibrary.org/obo/MP_0030193,short philtrum (MPO)
http://purl.obolibrary.org/obo/ZP_0000101,"endodermal cell endoderm decreased amount, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0004181,"endodermal cell whole organism decreased amount, abnormal (ZPO)"
http://purl.obolibrary.org/obo/XPO_0138522,decreased cell population proliferation in gasserian ganglion (XPO),http://purl.obolibrary.org/obo/XPO_0138523,decreased cell population proliferation in trigeminal ganglion (XPO)
http://purl.obolibrary.org/obo/WBPhenotype_0000384,axon guidance variant (WBP),http://purl.obolibrary.org/obo/ZP_0001563,"axon guidance process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/HP_0012184,Increased HDL cholesterol concentration (HPO),http://purl.obolibrary.org/obo/MP_0001556,increased circulating HDL cholesterol level (MPO)
http://purl.obolibrary.org/obo/MP_0000576,clubfoot (MPO),http://purl.obolibrary.org/obo/HP_0001883,Talipes (HPO)
http://purl.obolibrary.org/obo/MP_0005628,decreased circulating potassium level (MPO),http://purl.obolibrary.org/obo/HP_0002900,Hypokalemia (HPO)
http://purl.obolibrary.org/obo/MP_0001144,vagina atresia (MPO),http://purl.obolibrary.org/obo/HP_0000148,Vaginal atresia (HPO)
http://purl.obolibrary.org/obo/HP_0011472,Abnormality of small intestinal villus morphology (HPO),http://purl.obolibrary.org/obo/MP_0008108,abnormal small intestinal villus morphology (MPO)
http://purl.obolibrary.org/obo/HP_0000452,Choanal stenosis (HPO),http://purl.obolibrary.org/obo/MP_0030062,choanal stenosis (MPO)
http://purl.obolibrary.org/obo/WBPhenotype_0001421,endocytic transport variant (WBP),http://purl.obolibrary.org/obo/PHIPO_0000261,abnormal endocytosis (PHIPO)
http://purl.obolibrary.org/obo/MP_0006285,absent inner ear (MPO),http://purl.obolibrary.org/obo/HP_0011372,Aplasia of the inner ear (HPO)
http://purl.obolibrary.org/obo/ZP_0014975,"growth quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/MP_0001731,abnormal postnatal growth (MPO)
http://purl.obolibrary.org/obo/HP_0011036,Abnormality of renal excretion (HPO),http://purl.obolibrary.org/obo/ZP_0011868,"renal system process process quality, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0002187,abnormal fibula morphology (MPO),http://purl.obolibrary.org/obo/HP_0002991,Abnormality of fibula morphology (HPO)
http://purl.obolibrary.org/obo/MP_0005437,abnormal glycogen level (MPO),http://purl.obolibrary.org/obo/WBPhenotype_0001892,glycogen levels variant (WBP)
http://purl.obolibrary.org/obo/MP_0005634,decreased circulating sodium level (MPO),http://purl.obolibrary.org/obo/HP_0002902,Hyponatremia (HPO)
http://purl.obolibrary.org/obo/XPO_0102425,abnormal omphalomesenteric vein morphology (XPO),http://purl.obolibrary.org/obo/XPO_0102121,abnormal vitelline vein morphology (XPO)
http://purl.obolibrary.org/obo/MP_0005528,decreased renal glomerular filtration rate (MPO),http://purl.obolibrary.org/obo/ZP_0004132,"glomerular filtration decreased rate, abnormal (ZPO)"
http://purl.obolibrary.org/obo/ZP_0100436,"nucleate erythrocyte amount, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0018327,"nucleate erythrocyte blood amount, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0001433,polyphagia (MPO),http://purl.obolibrary.org/obo/HP_0002591,Polyphagia (HPO)
http://purl.obolibrary.org/obo/ZP_0000230,"heart contraction decreased rate, abnormal (ZPO)",http://purl.obolibrary.org/obo/HP_0001635,Congestive heart failure (HPO)
http://purl.obolibrary.org/obo/ZP_0011033,"pronephric capsular space dilated, abnormal (ZPO)",http://purl.obolibrary.org/obo/ZP_0020014,"renal capsular space dilated, abnormal (ZPO)"
http://purl.obolibrary.org/obo/MP_0001919,abnormal reproductive system physiology (MPO),http://purl.obolibrary.org/obo/HP_0000080,Abnormality of reproductive system physiology (HPO)
http://purl.obolibrary.org/obo/ZP_0008523,"locomotory behavior process quality, abnormal (ZPO)",http://purl.obolibrary.org/obo/FBcv_0000414,locomotor behavior defective (DPO)
http://purl.obolibrary.org/obo/HP_0001655,Patent foramen ovale (HPO),http://purl.obolibrary.org/obo/MP_0004225,patent cardiac foramen ovale (MPO)
http://purl.obolibrary.org/obo/XPO_0131409,abnormal locomotory behavior (XPO),http://purl.obolibrary.org/obo/FBcv_0000414,locomotor behavior defective (DPO)
http://purl.obolibrary.org/obo/HP_0000243,Trigonocephaly (HPO),http://purl.obolibrary.org/obo/MP_0030368,trigonocephaly (MPO)
http://purl.obolibrary.org/obo/MP_0009809,abnormal urine uric acid level (MPO),http://purl.obolibrary.org/obo/HP_0012610,Abnormality of urinary uric acid concentration (HPO)
